patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	1	1	0	0	1	1
2014-03-09	2	3	0	0	2	3
2014-03-16	11	14	0	0	11	14
2014-03-23	11	25	0	0	11	25
2014-03-30	24	49	0	0	24	49
2014-04-06	21	70	0	0	21	70
2014-04-13	27	97	0	0	27	97
2014-04-20	16	113	0	0	16	113
2014-04-27	11	124	0	0	11	124
2014-05-04	3	127	0	0	3	127
2014-05-11	8	135	0	0	8	135
2014-05-18	6	141	0	0	6	141
2014-05-25	23	164	0	0	23	164
2014-06-01	36	200	0	0	36	200
2014-06-08	24	224	0	0	24	224
2014-06-15	29	253	0	0	29	253
2014-06-22	18	271	0	0	18	271
2014-06-29	22	293	0	0	22	293
2014-07-06	2	295	0	0	2	295
2014-07-13	5	300	0	0	5	300
2014-07-20	5	305	0	0	5	305
2014-07-27	32	337	0	0	32	337
2014-08-03	13	350	0	0	13	350
2014-08-10	21	371	0	0	21	371
2014-08-17	40	411	0	0	40	411
2014-08-24	75	486	0	0	75	486
2014-08-31	95	581	0	0	95	581
2014-09-07	101	682	0	0	101	682
2014-09-14	79	761	0	0	79	761
2014-09-21	81	842	77	77	81	842
2014-09-28	121	963	117	194	121	963
2014-10-05	96	1059	95	289	96	1059
2014-10-12	131	1190	137	426	137	1196
2014-10-19	110	1300	102	528	110	1306
2014-10-26	82	1382	75	603	82	1388
2014-11-02	90	1472	93	696	93	1481
2014-11-09	153	1625	145	841	153	1634
2014-11-16	93	1718	81	922	93	1727
2014-11-23	149	1867	148	1070	149	1876
2014-11-30	85	1952	77	1147	85	1961
2014-12-07	110	2062	96	1243	110	2071
2014-12-14	75	2137	76	1319	76	2147
2014-12-21	169	2306	156	1475	169	2316
2014-12-28	103	2409	115	1590	115	2431
2015-01-04	69	2478	74	1664	74	2505
2015-01-11	42	2520	42	1706	42	2547
2015-01-18	19	2539	20	1726	20	2567
2015-01-25	32	2571	30	1756	32	2599
2015-02-01	41	2612	39	1795	41	2640
2015-02-08	64	2676	65	1860	65	2705
2015-02-15	51	2727	52	1912	52	2757
2015-02-22	37	2764	35	1947	37	2794
2015-03-01	53	2817	51	1998	53	2847
2015-03-08	58	2875	58	2056	58	2905
2015-03-15	94	2969	95	2151	95	3000
2015-03-22	44	3013	45	2196	45	3045
2015-03-29	55	3068	57	2253	57	3102
2015-04-05	21	3089	21	2274	21	3123
2015-04-12	31	3120	28	2302	31	3154
2015-04-19	16	3136	19	2321	19	3173
2015-04-26	22	3158	22	2343	22	3195
2015-05-03	9	3167	9	2352	9	3204
2015-05-10	7	3174	7	2359	7	3211
2015-05-17	27	3201	27	2386	27	3238
2015-05-24	9	3210	9	2395	9	3247
2015-05-31	13	3223	13	2408	13	3260
2015-06-07	12	3235	12	2420	12	3272
2015-06-14	10	3245	10	2430	10	3282
2015-06-21	13	3258	12	2442	13	3295
2015-06-28	11	3269	12	2454	12	3307
2015-07-05	18	3287	18	2472	18	3325
2015-07-12	13	3300	13	2485	13	3338
2015-07-19	22	3322	22	2507	22	3360
2015-07-26	4	3326	4	2511	4	3364
2015-08-02	1	3327	1	2512	1	3365
2015-08-09	2	3329	2	2514	2	3367
2015-08-16	3	3332	3	2517	3	3370
2015-08-23	3	3335	3	2520	3	3373
2015-08-30	2	3337	2	2522	2	3375
2015-09-06	1	3338	1	2523	1	3376
2015-09-13	0	3338	0	2523	0	3376
2015-09-20	2	3340	2	2525	2	3378
2015-09-27	4	3344	4	2529	4	3382
2015-10-04	0	3344	0	2529	0	3382
2015-10-11	0	3344	0	2529	0	3382
2015-10-18	3	3347	3	2532	3	3385
2015-10-25	3	3350	3	2535	3	3388
2015-11-01	1	3351	1	2536	1	3389
2015-11-08	0	3351	0	2536	0	3389
2015-11-15	0	3351	0	2536	0	3389
2015-11-22	0	3351	0	2536	0	3389
2015-11-29	0	3351	0	2536	0	3389
2015-12-06	0	3351	0	2536	0	3389
2015-12-13	0	3351	0	2536	0	3389
2015-12-20	0	3351	0	2536	0	3389
2015-12-27	0	3351	0	2536	0	3389
2016-01-03	0	3351	0	2536	0	3389
2016-01-10	0	3351	0	2536	0	3389
2016-01-17	0	3351	0	2536	0	3389
2016-01-24	0	3351	0	2536	0	3389
2016-01-31	0	3351	0	2536	0	3389
2016-02-07	0	3351	0	2536	0	3389
2016-02-14	0	3351	0	2536	0	3389
2016-02-21	0	3351	0	2536	0	3389
2016-02-28	0	3351	0	2536	0	3389
2016-03-06	0	3351	0	2536	0	3389
2016-03-13	0	3351	0	2536	0	3389
2016-03-20	0	3351	2	2538	2	3391
2016-03-27	0	3351	2	2540	2	3393
2016-04-03	0	3351	2	2542	2	3395
2016-04-10	0	3351	1	2543	1	3396
2016-04-17	0	3351	0	2543	0	3396
2016-04-24	0	3351	0	2543	0	3396
2016-05-01	0	3351	0	2543	0	3396
2016-05-08	0	3351	0	2543	0	3396
