GUECKEDOU.patient	GUECKEDOU.patientSum	GUECKEDOU.situation	GUECKEDOU.situationSum	GUECKEDOU.combined	GUECKEDOU.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	7	7	0	0	7	7
2014-03-23	10	17	0	0	10	17
2014-03-30	7	24	0	0	7	24
2014-04-06	9	33	0	0	9	33
2014-04-13	19	52	0	0	19	52
2014-04-20	7	59	0	0	7	59
2014-04-27	9	68	0	0	9	68
2014-05-04	3	71	0	0	3	71
2014-05-11	8	79	0	0	8	79
2014-05-18	6	85	0	0	6	85
2014-05-25	9	94	0	0	9	94
2014-06-01	7	101	0	0	7	101
2014-06-08	6	107	0	0	6	107
2014-06-15	24	131	0	0	24	131
2014-06-22	15	146	0	0	15	146
2014-06-29	16	162	0	0	16	162
2014-07-06	1	163	0	0	1	163
2014-07-13	5	168	0	0	5	168
2014-07-20	4	172	0	0	4	172
2014-07-27	8	180	0	0	8	180
2014-08-03	3	183	0	0	3	183
2014-08-10	12	195	0	0	12	195
2014-08-17	5	200	0	0	5	200
2014-08-24	6	206	0	0	6	206
2014-08-31	10	216	0	0	10	216
2014-09-07	15	231	0	0	15	231
2014-09-14	6	237	0	0	6	237
2014-09-21	8	245	3	3	8	245
2014-09-28	3	248	5	8	5	250
2014-10-05	2	250	4	12	4	254
2014-10-12	2	252	1	13	2	256
2014-10-19	2	254	2	15	2	258
2014-10-26	2	256	3	18	3	261
2014-11-02	1	257	0	18	1	262
2014-11-09	4	261	1	19	4	266
2014-11-16	0	261	0	19	0	266
2014-11-23	1	262	2	21	2	268
2014-11-30	1	263	1	22	1	269
2014-12-07	3	266	2	24	3	272
2014-12-14	1	267	2	26	2	274
2014-12-21	4	271	3	29	4	278
2014-12-28	0	271	1	30	1	279
2015-01-04	0	271	0	30	0	279
2015-01-11	0	271	0	30	0	279
2015-01-18	0	271	0	30	0	279
2015-01-25	0	271	0	30	0	279
2015-02-01	0	271	0	30	0	279
2015-02-08	0	271	0	30	0	279
2015-02-15	0	271	0	30	0	279
2015-02-22	0	271	0	30	0	279
2015-03-01	0	271	0	30	0	279
2015-03-08	0	271	0	30	0	279
2015-03-15	0	271	0	30	0	279
2015-03-22	0	271	0	30	0	279
2015-03-29	0	271	0	30	0	279
2015-04-05	0	271	0	30	0	279
2015-04-12	0	271	0	30	0	279
2015-04-19	0	271	0	30	0	279
2015-04-26	0	271	0	30	0	279
2015-05-03	0	271	0	30	0	279
2015-05-10	0	271	0	30	0	279
2015-05-17	0	271	0	30	0	279
2015-05-24	0	271	0	30	0	279
2015-05-31	0	271	0	30	0	279
2015-06-07	0	271	0	30	0	279
2015-06-14	0	271	0	30	0	279
2015-06-21	0	271	0	30	0	279
2015-06-28	0	271	0	30	0	279
2015-07-05	0	271	0	30	0	279
2015-07-12	0	271	0	30	0	279
2015-07-19	0	271	0	30	0	279
2015-07-26	0	271	0	30	0	279
2015-08-02	0	271	0	30	0	279
2015-08-09	0	271	0	30	0	279
2015-08-16	0	271	0	30	0	279
2015-08-23	0	271	0	30	0	279
2015-08-30	0	271	0	30	0	279
2015-09-06	0	271	0	30	0	279
2015-09-13	0	271	0	30	0	279
2015-09-20	0	271	0	30	0	279
2015-09-27	0	271	0	30	0	279
2015-10-04	0	271	0	30	0	279
2015-10-11	0	271	0	30	0	279
2015-10-18	0	271	0	30	0	279
2015-10-25	0	271	0	30	0	279
2015-11-01	0	271	0	30	0	279
2015-11-08	0	271	0	30	0	279
2015-11-15	0	271	0	30	0	279
2015-11-22	0	271	0	30	0	279
2015-11-29	0	271	0	30	0	279
2015-12-06	0	271	0	30	0	279
2015-12-13	0	271	0	30	0	279
2015-12-20	0	271	0	30	0	279
2015-12-27	0	271	0	30	0	279
2016-01-03	0	271	0	30	0	279
2016-01-10	0	271	0	30	0	279
2016-01-17	0	271	0	30	0	279
2016-01-24	0	271	0	30	0	279
2016-01-31	0	271	0	30	0	279
2016-02-07	0	271	0	30	0	279
2016-02-14	0	271	0	30	0	279
2016-02-21	0	271	0	30	0	279
2016-02-28	0	271	0	30	0	279
2016-03-06	0	271	0	30	0	279
2016-03-13	0	271	0	30	0	279
2016-03-20	0	271	0	30	0	279
2016-03-27	0	271	0	30	0	279
2016-04-03	0	271	0	30	0	279
2016-04-10	0	271	0	30	0	279
2016-04-17	0	271	0	30	0	279
2016-04-24	0	271	0	30	0	279
2016-05-01	0	271	0	30	0	279
2016-05-08	0	271	0	30	0	279
