patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	1	1	0	0	1	1
2014-03-09	2	3	0	0	2	3
2014-03-16	10	13	0	0	10	13
2014-03-23	11	24	0	0	11	24
2014-03-30	22	46	0	0	22	46
2014-04-06	19	65	0	0	19	65
2014-04-13	27	92	0	0	27	92
2014-04-20	16	108	0	0	16	108
2014-04-27	11	119	0	0	11	119
2014-05-04	3	122	0	0	3	122
2014-05-11	8	130	0	0	8	130
2014-05-18	6	136	0	0	6	136
2014-05-25	18	154	0	0	18	154
2014-06-01	16	170	0	0	16	170
2014-06-08	14	184	0	0	14	184
2014-06-15	25	209	0	0	25	209
2014-06-22	15	224	0	0	15	224
2014-06-29	20	244	0	0	20	244
2014-07-06	2	246	0	0	2	246
2014-07-13	5	251	0	0	5	251
2014-07-20	4	255	0	0	4	255
2014-07-27	27	282	0	0	27	282
2014-08-03	6	288	0	0	6	288
2014-08-10	18	306	0	0	18	306
2014-08-17	28	334	0	0	28	334
2014-08-24	62	396	0	0	62	396
2014-08-31	62	458	0	0	62	458
2014-09-07	87	545	0	0	87	545
2014-09-14	60	605	0	0	60	605
2014-09-21	73	678	70	70	76	681
2014-09-28	101	779	102	172	105	786
2014-10-05	70	849	68	240	72	858
2014-10-12	55	904	67	307	68	926
2014-10-19	52	956	56	363	56	982
2014-10-26	33	989	24	387	34	1016
2014-11-02	54	1043	62	449	63	1079
2014-11-09	53	1096	52	501	56	1135
2014-11-16	19	1115	20	521	22	1157
2014-11-23	37	1152	34	555	38	1195
2014-11-30	41	1193	30	585	41	1236
2014-12-07	49	1242	33	618	49	1285
2014-12-14	23	1265	23	641	24	1309
2014-12-21	38	1303	32	673	38	1347
2014-12-28	20	1323	31	704	31	1378
2015-01-04	24	1347	25	729	25	1403
2015-01-11	9	1356	9	738	9	1412
2015-01-18	4	1360	4	742	4	1416
2015-01-25	7	1367	7	749	7	1423
2015-02-01	6	1373	6	755	6	1429
2015-02-08	23	1396	21	776	23	1452
2015-02-15	12	1408	13	789	13	1465
2015-02-22	7	1415	6	795	7	1472
2015-03-01	18	1433	19	814	19	1491
2015-03-08	13	1446	13	827	13	1504
2015-03-15	27	1473	25	852	27	1531
2015-03-22	10	1483	11	863	11	1542
2015-03-29	19	1502	19	882	19	1561
2015-04-05	8	1510	8	890	8	1569
2015-04-12	6	1516	6	896	6	1575
2015-04-19	1	1517	1	897	1	1576
2015-04-26	0	1517	0	897	0	1576
2015-05-03	0	1517	0	897	0	1576
2015-05-10	0	1517	0	897	0	1576
2015-05-17	0	1517	0	897	0	1576
2015-05-24	0	1517	0	897	0	1576
2015-05-31	0	1517	0	897	0	1576
2015-06-07	2	1519	2	899	2	1578
2015-06-14	1	1520	1	900	1	1579
2015-06-21	1	1521	1	901	1	1580
2015-06-28	1	1522	1	902	1	1581
2015-07-05	1	1523	1	903	1	1582
2015-07-12	9	1532	9	912	9	1591
2015-07-19	13	1545	13	925	13	1604
2015-07-26	3	1548	3	928	3	1607
2015-08-02	1	1549	1	929	1	1608
2015-08-09	1	1550	1	930	1	1609
2015-08-16	2	1552	2	932	2	1611
2015-08-23	3	1555	3	935	3	1614
2015-08-30	1	1556	1	936	1	1615
2015-09-06	1	1557	1	937	1	1616
2015-09-13	0	1557	0	937	0	1616
2015-09-20	2	1559	2	939	2	1618
2015-09-27	0	1559	0	939	0	1618
2015-10-04	0	1559	0	939	0	1618
2015-10-11	0	1559	0	939	0	1618
2015-10-18	1	1560	1	940	1	1619
2015-10-25	0	1560	0	940	0	1619
2015-11-01	0	1560	0	940	0	1619
2015-11-08	0	1560	0	940	0	1619
2015-11-15	0	1560	0	940	0	1619
2015-11-22	0	1560	0	940	0	1619
2015-11-29	0	1560	0	940	0	1619
2015-12-06	0	1560	0	940	0	1619
2015-12-13	0	1560	0	940	0	1619
2015-12-20	0	1560	0	940	0	1619
2015-12-27	0	1560	0	940	0	1619
2016-01-03	0	1560	0	940	0	1619
2016-01-10	0	1560	0	940	0	1619
2016-01-17	0	1560	0	940	0	1619
2016-01-24	0	1560	0	940	0	1619
2016-01-31	0	1560	0	940	0	1619
2016-02-07	0	1560	0	940	0	1619
2016-02-14	0	1560	0	940	0	1619
2016-02-21	0	1560	0	940	0	1619
2016-02-28	0	1560	0	940	0	1619
2016-03-06	0	1560	0	940	0	1619
2016-03-13	0	1560	0	940	0	1619
2016-03-20	0	1560	0	940	0	1619
2016-03-27	0	1560	0	940	0	1619
2016-04-03	0	1560	0	940	0	1619
2016-04-10	0	1560	1	941	1	1620
2016-04-17	0	1560	0	941	0	1620
2016-04-24	0	1560	0	941	0	1620
2016-05-01	0	1560	0	941	0	1620
2016-05-08	0	1560	0	941	0	1620
