KEROUANE.patient	KEROUANE.patientSum	KEROUANE.situation	KEROUANE.situationSum	KEROUANE.combined	KEROUANE.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	0	0	0	0	0	0
2014-08-03	0	0	0	0	0	0
2014-08-10	0	0	0	0	0	0
2014-08-17	0	0	0	0	0	0
2014-08-24	1	1	0	0	1	1
2014-08-31	7	8	0	0	7	8
2014-09-07	4	12	0	0	4	12
2014-09-14	11	23	0	0	11	23
2014-09-21	0	23	0	0	0	23
2014-09-28	1	24	1	1	1	24
2014-10-05	2	26	2	3	2	26
2014-10-12	16	42	14	17	16	42
2014-10-19	20	62	18	35	20	62
2014-10-26	21	83	22	57	22	84
2014-11-02	11	94	7	64	11	95
2014-11-09	28	122	30	94	30	125
2014-11-16	15	137	16	110	16	141
2014-11-23	6	143	8	118	8	149
2014-11-30	0	143	0	118	0	149
2014-12-07	3	146	4	122	4	153
2014-12-14	4	150	5	127	5	158
2014-12-21	11	161	6	133	11	169
2014-12-28	0	161	4	137	4	173
2015-01-04	0	161	0	137	0	173
2015-01-11	0	161	0	137	0	173
2015-01-18	0	161	0	137	0	173
2015-01-25	0	161	0	137	0	173
2015-02-01	0	161	0	137	0	173
2015-02-08	0	161	0	137	0	173
2015-02-15	0	161	0	137	0	173
2015-02-22	0	161	0	137	0	173
2015-03-01	0	161	0	137	0	173
2015-03-08	0	161	0	137	0	173
2015-03-15	0	161	0	137	0	173
2015-03-22	0	161	0	137	0	173
2015-03-29	0	161	0	137	0	173
2015-04-05	0	161	0	137	0	173
2015-04-12	0	161	0	137	0	173
2015-04-19	0	161	0	137	0	173
2015-04-26	0	161	0	137	0	173
2015-05-03	0	161	0	137	0	173
2015-05-10	0	161	0	137	0	173
2015-05-17	0	161	0	137	0	173
2015-05-24	0	161	0	137	0	173
2015-05-31	0	161	0	137	0	173
2015-06-07	0	161	0	137	0	173
2015-06-14	0	161	0	137	0	173
2015-06-21	0	161	0	137	0	173
2015-06-28	0	161	0	137	0	173
2015-07-05	0	161	0	137	0	173
2015-07-12	0	161	0	137	0	173
2015-07-19	0	161	0	137	0	173
2015-07-26	0	161	0	137	0	173
2015-08-02	0	161	0	137	0	173
2015-08-09	0	161	0	137	0	173
2015-08-16	0	161	0	137	0	173
2015-08-23	0	161	0	137	0	173
2015-08-30	0	161	0	137	0	173
2015-09-06	0	161	0	137	0	173
2015-09-13	0	161	0	137	0	173
2015-09-20	0	161	0	137	0	173
2015-09-27	0	161	0	137	0	173
2015-10-04	0	161	0	137	0	173
2015-10-11	0	161	0	137	0	173
2015-10-18	0	161	0	137	0	173
2015-10-25	0	161	0	137	0	173
2015-11-01	0	161	0	137	0	173
2015-11-08	0	161	0	137	0	173
2015-11-15	0	161	0	137	0	173
2015-11-22	0	161	0	137	0	173
2015-11-29	0	161	0	137	0	173
2015-12-06	0	161	0	137	0	173
2015-12-13	0	161	0	137	0	173
2015-12-20	0	161	0	137	0	173
2015-12-27	0	161	0	137	0	173
2016-01-03	0	161	0	137	0	173
2016-01-10	0	161	0	137	0	173
2016-01-17	0	161	0	137	0	173
2016-01-24	0	161	0	137	0	173
2016-01-31	0	161	0	137	0	173
2016-02-07	0	161	0	137	0	173
2016-02-14	0	161	0	137	0	173
2016-02-21	0	161	0	137	0	173
2016-02-28	0	161	0	137	0	173
2016-03-06	0	161	0	137	0	173
2016-03-13	0	161	0	137	0	173
2016-03-20	0	161	0	137	0	173
2016-03-27	0	161	0	137	0	173
2016-04-03	0	161	0	137	0	173
2016-04-10	0	161	0	137	0	173
2016-04-17	0	161	0	137	0	173
2016-04-24	0	161	0	137	0	173
2016-05-01	0	161	0	137	0	173
2016-05-08	0	161	0	137	0	173
