KINDIA.patient	KINDIA.patientSum	KINDIA.situation	KINDIA.situationSum	KINDIA.combined	KINDIA.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	1	1	0	0	1	1
2014-06-15	0	1	0	0	0	1
2014-06-22	0	1	0	0	0	1
2014-06-29	0	1	0	0	0	1
2014-07-06	0	1	0	0	0	1
2014-07-13	0	1	0	0	0	1
2014-07-20	0	1	0	0	0	1
2014-07-27	0	1	0	0	0	1
2014-08-03	0	1	0	0	0	1
2014-08-10	0	1	0	0	0	1
2014-08-17	0	1	0	0	0	1
2014-08-24	0	1	0	0	0	1
2014-08-31	0	1	0	0	0	1
2014-09-07	0	1	0	0	0	1
2014-09-14	0	1	0	0	0	1
2014-09-21	1	2	1	1	1	2
2014-09-28	0	2	0	1	0	2
2014-10-05	0	2	0	1	0	2
2014-10-12	2	4	0	1	2	4
2014-10-19	0	4	0	1	0	4
2014-10-26	1	5	1	2	1	5
2014-11-02	6	11	5	7	6	11
2014-11-09	1	12	4	11	4	15
2014-11-16	4	16	3	14	4	19
2014-11-23	10	26	11	25	11	30
2014-11-30	1	27	1	26	1	31
2014-12-07	4	31	4	30	4	35
2014-12-14	1	32	0	30	1	36
2014-12-21	11	43	10	40	11	47
2014-12-28	15	58	16	56	16	63
2015-01-04	5	63	5	61	5	68
2015-01-11	1	64	1	62	1	69
2015-01-18	0	64	0	62	0	69
2015-01-25	1	65	1	63	1	70
2015-02-01	1	66	1	64	1	71
2015-02-08	1	67	2	66	2	73
2015-02-15	0	67	0	66	0	73
2015-02-22	1	68	1	67	1	74
2015-03-01	0	68	0	67	0	74
2015-03-08	2	70	2	69	2	76
2015-03-15	3	73	3	72	3	79
2015-03-22	0	73	0	72	0	79
2015-03-29	0	73	0	72	0	79
2015-04-05	4	77	4	76	4	83
2015-04-12	1	78	1	77	1	84
2015-04-19	0	78	0	77	0	84
2015-04-26	1	79	1	78	1	85
2015-05-03	0	79	0	78	0	85
2015-05-10	0	79	0	78	0	85
2015-05-17	0	79	0	78	0	85
2015-05-24	0	79	0	78	0	85
2015-05-31	0	79	0	78	0	85
2015-06-07	0	79	0	78	0	85
2015-06-14	0	79	0	78	0	85
2015-06-21	0	79	0	78	0	85
2015-06-28	0	79	0	78	0	85
2015-07-05	0	79	0	78	0	85
2015-07-12	0	79	0	78	0	85
2015-07-19	0	79	0	78	0	85
2015-07-26	0	79	0	78	0	85
2015-08-02	0	79	0	78	0	85
2015-08-09	0	79	0	78	0	85
2015-08-16	0	79	0	78	0	85
2015-08-23	0	79	0	78	0	85
2015-08-30	0	79	0	78	0	85
2015-09-06	0	79	0	78	0	85
2015-09-13	0	79	0	78	0	85
2015-09-20	0	79	0	78	0	85
2015-09-27	0	79	0	78	0	85
2015-10-04	0	79	0	78	0	85
2015-10-11	0	79	0	78	0	85
2015-10-18	0	79	0	78	0	85
2015-10-25	0	79	0	78	0	85
2015-11-01	0	79	0	78	0	85
2015-11-08	0	79	0	78	0	85
2015-11-15	0	79	0	78	0	85
2015-11-22	0	79	0	78	0	85
2015-11-29	0	79	0	78	0	85
2015-12-06	0	79	0	78	0	85
2015-12-13	0	79	0	78	0	85
2015-12-20	0	79	0	78	0	85
2015-12-27	0	79	0	78	0	85
2016-01-03	0	79	0	78	0	85
2016-01-10	0	79	0	78	0	85
2016-01-17	0	79	0	78	0	85
2016-01-24	0	79	0	78	0	85
2016-01-31	0	79	0	78	0	85
2016-02-07	0	79	0	78	0	85
2016-02-14	0	79	0	78	0	85
2016-02-21	0	79	0	78	0	85
2016-02-28	0	79	0	78	0	85
2016-03-06	0	79	0	78	0	85
2016-03-13	0	79	0	78	0	85
2016-03-20	0	79	0	78	0	85
2016-03-27	0	79	0	78	0	85
2016-04-03	0	79	0	78	0	85
2016-04-10	0	79	0	78	0	85
2016-04-17	0	79	0	78	0	85
2016-04-24	0	79	0	78	0	85
2016-05-01	0	79	0	78	0	85
2016-05-08	0	79	0	78	0	85
