KISSIDOUGOU.patient	KISSIDOUGOU.patientSum	KISSIDOUGOU.situation	KISSIDOUGOU.situationSum	KISSIDOUGOU.combined	KISSIDOUGOU.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	1	1	0	0	1	1
2014-03-23	0	1	0	0	0	1
2014-03-30	0	1	0	0	0	1
2014-04-06	1	2	0	0	1	2
2014-04-13	0	2	0	0	0	2
2014-04-20	0	2	0	0	0	2
2014-04-27	0	2	0	0	0	2
2014-05-04	0	2	0	0	0	2
2014-05-11	0	2	0	0	0	2
2014-05-18	0	2	0	0	0	2
2014-05-25	0	2	0	0	0	2
2014-06-01	0	2	0	0	0	2
2014-06-08	0	2	0	0	0	2
2014-06-15	0	2	0	0	0	2
2014-06-22	0	2	0	0	0	2
2014-06-29	0	2	0	0	0	2
2014-07-06	0	2	0	0	0	2
2014-07-13	0	2	0	0	0	2
2014-07-20	0	2	0	0	0	2
2014-07-27	0	2	0	0	0	2
2014-08-03	0	2	0	0	0	2
2014-08-10	0	2	0	0	0	2
2014-08-17	0	2	0	0	0	2
2014-08-24	0	2	0	0	0	2
2014-08-31	0	2	0	0	0	2
2014-09-07	0	2	0	0	0	2
2014-09-14	1	3	0	0	1	3
2014-09-21	0	3	0	0	0	3
2014-09-28	0	3	0	0	0	3
2014-10-05	0	3	0	0	0	3
2014-10-12	3	6	2	2	3	6
2014-10-19	0	6	0	2	0	6
2014-10-26	0	6	0	2	0	6
2014-11-02	0	6	0	2	0	6
2014-11-09	0	6	1	3	1	7
2014-11-16	0	6	0	3	0	7
2014-11-23	7	13	5	8	7	14
2014-11-30	0	13	1	9	1	15
2014-12-07	5	18	5	14	5	20
2014-12-14	1	19	1	15	1	21
2014-12-21	59	78	58	73	59	80
2014-12-28	12	90	14	87	14	94
2015-01-04	6	96	6	93	6	100
2015-01-11	0	96	0	93	0	100
2015-01-18	0	96	0	93	0	100
2015-01-25	1	97	1	94	1	101
2015-02-01	0	97	0	94	0	101
2015-02-08	1	98	1	95	1	102
2015-02-15	0	98	0	95	0	102
2015-02-22	0	98	0	95	0	102
2015-03-01	0	98	0	95	0	102
2015-03-08	0	98	0	95	0	102
2015-03-15	0	98	0	95	0	102
2015-03-22	0	98	0	95	0	102
2015-03-29	0	98	0	95	0	102
2015-04-05	0	98	0	95	0	102
2015-04-12	0	98	0	95	0	102
2015-04-19	0	98	0	95	0	102
2015-04-26	0	98	0	95	0	102
2015-05-03	0	98	0	95	0	102
2015-05-10	0	98	0	95	0	102
2015-05-17	0	98	0	95	0	102
2015-05-24	0	98	0	95	0	102
2015-05-31	0	98	0	95	0	102
2015-06-07	0	98	0	95	0	102
2015-06-14	0	98	0	95	0	102
2015-06-21	0	98	0	95	0	102
2015-06-28	0	98	0	95	0	102
2015-07-05	0	98	0	95	0	102
2015-07-12	0	98	0	95	0	102
2015-07-19	0	98	0	95	0	102
2015-07-26	0	98	0	95	0	102
2015-08-02	0	98	0	95	0	102
2015-08-09	0	98	0	95	0	102
2015-08-16	0	98	0	95	0	102
2015-08-23	0	98	0	95	0	102
2015-08-30	0	98	0	95	0	102
2015-09-06	0	98	0	95	0	102
2015-09-13	0	98	0	95	0	102
2015-09-20	0	98	0	95	0	102
2015-09-27	0	98	0	95	0	102
2015-10-04	0	98	0	95	0	102
2015-10-11	0	98	0	95	0	102
2015-10-18	0	98	0	95	0	102
2015-10-25	0	98	0	95	0	102
2015-11-01	0	98	0	95	0	102
2015-11-08	0	98	0	95	0	102
2015-11-15	0	98	0	95	0	102
2015-11-22	0	98	0	95	0	102
2015-11-29	0	98	0	95	0	102
2015-12-06	0	98	0	95	0	102
2015-12-13	0	98	0	95	0	102
2015-12-20	0	98	0	95	0	102
2015-12-27	0	98	0	95	0	102
2016-01-03	0	98	0	95	0	102
2016-01-10	0	98	0	95	0	102
2016-01-17	0	98	0	95	0	102
2016-01-24	0	98	0	95	0	102
2016-01-31	0	98	0	95	0	102
2016-02-07	0	98	0	95	0	102
2016-02-14	0	98	0	95	0	102
2016-02-21	0	98	0	95	0	102
2016-02-28	0	98	0	95	0	102
2016-03-06	0	98	0	95	0	102
2016-03-13	0	98	0	95	0	102
2016-03-20	0	98	0	95	0	102
2016-03-27	0	98	0	95	0	102
2016-04-03	0	98	0	95	0	102
2016-04-10	0	98	0	95	0	102
2016-04-17	0	98	0	95	0	102
2016-04-24	0	98	0	95	0	102
2016-05-01	0	98	0	95	0	102
2016-05-08	0	98	0	95	0	102
