LOLA.patient	LOLA.patientSum	LOLA.situation	LOLA.situationSum	LOLA.combined	LOLA.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	0	0	0	0	0	0
2014-08-03	0	0	0	0	0	0
2014-08-10	0	0	0	0	0	0
2014-08-17	0	0	0	0	0	0
2014-08-24	0	0	0	0	0	0
2014-08-31	0	0	0	0	0	0
2014-09-07	0	0	0	0	0	0
2014-09-14	0	0	0	0	0	0
2014-09-21	1	1	0	0	1	1
2014-09-28	0	1	0	0	0	1
2014-10-05	6	7	3	3	6	7
2014-10-12	5	12	4	7	5	12
2014-10-19	2	14	3	10	3	15
2014-10-26	3	17	2	12	3	18
2014-11-02	0	17	0	12	0	18
2014-11-09	0	17	0	12	0	18
2014-11-16	2	19	1	13	2	20
2014-11-23	9	28	6	19	9	29
2014-11-30	5	33	4	23	5	34
2014-12-07	2	35	3	26	3	37
2014-12-14	2	37	2	28	2	39
2014-12-21	8	45	6	34	8	47
2014-12-28	10	55	7	41	10	57
2015-01-04	10	65	12	53	12	69
2015-01-11	0	65	2	55	2	71
2015-01-18	2	67	2	57	2	73
2015-01-25	4	71	3	60	4	77
2015-02-01	15	86	12	72	15	92
2015-02-08	4	90	7	79	7	99
2015-02-15	0	90	0	79	0	99
2015-02-22	1	91	1	80	1	100
2015-03-01	1	92	1	81	1	101
2015-03-08	0	92	0	81	0	101
2015-03-15	0	92	0	81	0	101
2015-03-22	0	92	0	81	0	101
2015-03-29	0	92	0	81	0	101
2015-04-05	0	92	0	81	0	101
2015-04-12	0	92	0	81	0	101
2015-04-19	0	92	0	81	0	101
2015-04-26	0	92	0	81	0	101
2015-05-03	0	92	0	81	0	101
2015-05-10	0	92	0	81	0	101
2015-05-17	0	92	0	81	0	101
2015-05-24	0	92	0	81	0	101
2015-05-31	0	92	0	81	0	101
2015-06-07	0	92	0	81	0	101
2015-06-14	0	92	0	81	0	101
2015-06-21	0	92	0	81	0	101
2015-06-28	0	92	0	81	0	101
2015-07-05	0	92	0	81	0	101
2015-07-12	0	92	0	81	0	101
2015-07-19	0	92	0	81	0	101
2015-07-26	0	92	0	81	0	101
2015-08-02	0	92	0	81	0	101
2015-08-09	0	92	0	81	0	101
2015-08-16	0	92	0	81	0	101
2015-08-23	0	92	0	81	0	101
2015-08-30	0	92	0	81	0	101
2015-09-06	0	92	0	81	0	101
2015-09-13	0	92	0	81	0	101
2015-09-20	0	92	0	81	0	101
2015-09-27	0	92	0	81	0	101
2015-10-04	0	92	0	81	0	101
2015-10-11	0	92	0	81	0	101
2015-10-18	0	92	0	81	0	101
2015-10-25	0	92	0	81	0	101
2015-11-01	0	92	0	81	0	101
2015-11-08	0	92	0	81	0	101
2015-11-15	0	92	0	81	0	101
2015-11-22	0	92	0	81	0	101
2015-11-29	0	92	0	81	0	101
2015-12-06	0	92	0	81	0	101
2015-12-13	0	92	0	81	0	101
2015-12-20	0	92	0	81	0	101
2015-12-27	0	92	0	81	0	101
2016-01-03	0	92	0	81	0	101
2016-01-10	0	92	0	81	0	101
2016-01-17	0	92	0	81	0	101
2016-01-24	0	92	0	81	0	101
2016-01-31	0	92	0	81	0	101
2016-02-07	0	92	0	81	0	101
2016-02-14	0	92	0	81	0	101
2016-02-21	0	92	0	81	0	101
2016-02-28	0	92	0	81	0	101
2016-03-06	0	92	0	81	0	101
2016-03-13	0	92	0	81	0	101
2016-03-20	0	92	0	81	0	101
2016-03-27	0	92	0	81	0	101
2016-04-03	0	92	0	81	0	101
2016-04-10	0	92	0	81	0	101
2016-04-17	0	92	0	81	0	101
2016-04-24	0	92	0	81	0	101
2016-05-01	0	92	0	81	0	101
2016-05-08	0	92	0	81	0	101
