N.ZEREKORE.patient	N.ZEREKORE.patientSum	N.ZEREKORE.situation	N.ZEREKORE.situationSum	N.ZEREKORE.combined	N.ZEREKORE.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	0	0	0	0	0	0
2014-08-03	4	4	0	0	4	4
2014-08-10	1	5	0	0	1	5
2014-08-17	5	10	0	0	5	10
2014-08-24	0	10	0	0	0	10
2014-08-31	1	11	0	0	1	11
2014-09-07	3	14	0	0	3	14
2014-09-14	4	18	0	0	4	18
2014-09-21	2	20	2	2	2	20
2014-09-28	10	30	5	7	10	30
2014-10-05	14	44	18	25	18	48
2014-10-12	18	62	15	40	18	66
2014-10-19	21	83	17	57	21	87
2014-10-26	9	92	10	67	10	97
2014-11-02	12	104	11	78	12	109
2014-11-09	25	129	22	100	25	134
2014-11-16	23	152	23	123	23	157
2014-11-23	28	180	29	152	29	186
2014-11-30	5	185	6	158	6	192
2014-12-07	5	190	4	162	5	197
2014-12-14	7	197	6	168	7	204
2014-12-21	9	206	9	177	9	213
2014-12-28	3	209	2	179	3	216
2015-01-04	1	210	1	180	1	217
2015-01-11	0	210	0	180	0	217
2015-01-18	1	211	1	181	1	218
2015-01-25	2	213	2	183	2	220
2015-02-01	0	213	0	183	0	220
2015-02-08	0	213	0	183	0	220
2015-02-15	0	213	0	183	0	220
2015-02-22	0	213	0	183	0	220
2015-03-01	0	213	0	183	0	220
2015-03-08	0	213	0	183	0	220
2015-03-15	0	213	0	183	0	220
2015-03-22	0	213	0	183	0	220
2015-03-29	0	213	0	183	0	220
2015-04-05	0	213	0	183	0	220
2015-04-12	0	213	0	183	0	220
2015-04-19	0	213	0	183	0	220
2015-04-26	0	213	0	183	0	220
2015-05-03	0	213	0	183	0	220
2015-05-10	0	213	0	183	0	220
2015-05-17	0	213	0	183	0	220
2015-05-24	0	213	0	183	0	220
2015-05-31	0	213	0	183	0	220
2015-06-07	0	213	0	183	0	220
2015-06-14	0	213	0	183	0	220
2015-06-21	0	213	0	183	0	220
2015-06-28	0	213	0	183	0	220
2015-07-05	0	213	0	183	0	220
2015-07-12	0	213	0	183	0	220
2015-07-19	0	213	0	183	0	220
2015-07-26	0	213	0	183	0	220
2015-08-02	0	213	0	183	0	220
2015-08-09	0	213	0	183	0	220
2015-08-16	0	213	0	183	0	220
2015-08-23	0	213	0	183	0	220
2015-08-30	0	213	0	183	0	220
2015-09-06	0	213	0	183	0	220
2015-09-13	0	213	0	183	0	220
2015-09-20	0	213	0	183	0	220
2015-09-27	0	213	0	183	0	220
2015-10-04	0	213	0	183	0	220
2015-10-11	0	213	0	183	0	220
2015-10-18	0	213	0	183	0	220
2015-10-25	0	213	0	183	0	220
2015-11-01	0	213	0	183	0	220
2015-11-08	0	213	0	183	0	220
2015-11-15	0	213	0	183	0	220
2015-11-22	0	213	0	183	0	220
2015-11-29	0	213	0	183	0	220
2015-12-06	0	213	0	183	0	220
2015-12-13	0	213	0	183	0	220
2015-12-20	0	213	0	183	0	220
2015-12-27	0	213	0	183	0	220
2016-01-03	0	213	0	183	0	220
2016-01-10	0	213	0	183	0	220
2016-01-17	0	213	0	183	0	220
2016-01-24	0	213	0	183	0	220
2016-01-31	0	213	0	183	0	220
2016-02-07	0	213	0	183	0	220
2016-02-14	0	213	0	183	0	220
2016-02-21	0	213	0	183	0	220
2016-02-28	0	213	0	183	0	220
2016-03-06	0	213	0	183	0	220
2016-03-13	0	213	0	183	0	220
2016-03-20	0	213	2	185	2	222
2016-03-27	0	213	2	187	2	224
2016-04-03	0	213	2	189	2	226
2016-04-10	0	213	0	189	0	226
2016-04-17	0	213	0	189	0	226
2016-04-24	0	213	0	189	0	226
2016-05-01	0	213	0	189	0	226
2016-05-08	0	213	0	189	0	226
