BOMI.patient	BOMI.patientSum	BOMI.situation	BOMI.situationSum	BOMI.combined	BOMI.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	1	1	0	0	1	1
2014-06-29	1	2	0	0	1	2
2014-07-06	0	2	0	0	0	2
2014-07-13	1	3	0	0	1	3
2014-07-20	3	6	0	0	3	6
2014-07-27	17	23	0	0	17	23
2014-08-03	17	40	0	0	17	40
2014-08-10	2	42	0	0	2	42
2014-08-17	7	49	0	0	7	49
2014-08-24	7	56	0	0	7	56
2014-08-31	9	65	0	0	9	65
2014-09-07	14	79	0	0	14	79
2014-09-14	6	85	0	0	6	85
2014-09-21	11	96	0	0	11	96
2014-09-28	4	100	0	0	4	100
2014-10-05	3	103	0	0	3	103
2014-10-12	3	106	0	0	3	106
2014-10-19	5	111	0	0	5	111
2014-10-26	2	113	0	0	2	113
2014-11-02	2	115	0	0	2	115
2014-11-09	10	125	0	0	10	125
2014-11-16	2	127	0	0	2	127
2014-11-23	0	127	2	2	2	129
2014-11-30	2	129	2	4	2	131
2014-12-07	0	129	0	4	0	131
2014-12-14	1	130	0	4	1	132
2014-12-21	0	130	0	4	0	132
2014-12-28	0	130	0	4	0	132
2015-01-04	1	131	0	4	1	133
2015-01-11	0	131	0	4	0	133
2015-01-18	0	131	0	4	0	133
2015-01-25	0	131	0	4	0	133
2015-02-01	1	132	0	4	1	134
2015-02-08	0	132	0	4	0	134
2015-02-15	0	132	0	4	0	134
2015-02-22	0	132	0	4	0	134
2015-03-01	0	132	0	4	0	134
2015-03-08	0	132	0	4	0	134
2015-03-15	0	132	0	4	0	134
2015-03-22	0	132	0	4	0	134
2015-03-29	0	132	0	4	0	134
2015-04-05	0	132	0	4	0	134
2015-04-12	0	132	0	4	0	134
2015-04-19	0	132	0	4	0	134
2015-04-26	0	132	0	4	0	134
2015-05-03	0	132	0	4	0	134
2015-05-10	0	132	0	4	0	134
2015-05-17	0	132	0	4	0	134
2015-05-24	0	132	0	4	0	134
2015-05-31	0	132	0	4	0	134
2015-06-07	0	132	0	4	0	134
2015-06-14	0	132	0	4	0	134
2015-06-21	0	132	0	4	0	134
2015-06-28	0	132	0	4	0	134
2015-07-05	0	132	0	4	0	134
2015-07-12	0	132	0	4	0	134
2015-07-19	0	132	0	4	0	134
2015-07-26	0	132	0	4	0	134
2015-08-02	0	132	0	4	0	134
2015-08-09	0	132	0	4	0	134
2015-08-16	0	132	0	4	0	134
2015-08-23	0	132	0	4	0	134
2015-08-30	0	132	0	4	0	134
2015-09-06	0	132	0	4	0	134
2015-09-13	0	132	0	4	0	134
2015-09-20	0	132	0	4	0	134
2015-09-27	0	132	0	4	0	134
2015-10-04	0	132	0	4	0	134
2015-10-11	0	132	0	4	0	134
2015-10-18	0	132	0	4	0	134
2015-10-25	0	132	0	4	0	134
2015-11-01	0	132	0	4	0	134
2015-11-08	0	132	0	4	0	134
2015-11-15	0	132	0	4	0	134
2015-11-22	0	132	0	4	0	134
2015-11-29	0	132	0	4	0	134
2015-12-06	0	132	0	4	0	134
2015-12-13	0	132	0	4	0	134
2015-12-20	0	132	0	4	0	134
2015-12-27	0	132	0	4	0	134
2016-01-03	0	132	0	4	0	134
2016-01-10	0	132	0	4	0	134
2016-01-17	0	132	0	4	0	134
2016-01-24	0	132	0	4	0	134
2016-01-31	0	132	0	4	0	134
2016-02-07	0	132	0	4	0	134
2016-02-14	0	132	0	4	0	134
2016-02-21	0	132	0	4	0	134
2016-02-28	0	132	0	4	0	134
2016-03-06	0	132	0	4	0	134
2016-03-13	0	132	0	4	0	134
2016-03-20	0	132	0	4	0	134
2016-03-27	0	132	0	4	0	134
2016-04-03	0	132	0	4	0	134
2016-04-10	0	132	0	4	0	134
2016-04-17	0	132	0	4	0	134
2016-04-24	0	132	0	4	0	134
2016-05-01	0	132	0	4	0	134
2016-05-08	0	132	0	4	0	134
