BONG.patient	BONG.patientSum	BONG.situation	BONG.situationSum	BONG.combined	BONG.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	1	1	0	0	1	1
2014-07-13	1	2	0	0	1	2
2014-07-20	4	6	0	0	4	6
2014-07-27	5	11	0	0	5	11
2014-08-03	0	11	0	0	0	11
2014-08-10	1	12	0	0	1	12
2014-08-17	10	22	0	0	10	22
2014-08-24	12	34	0	0	12	34
2014-08-31	5	39	0	0	5	39
2014-09-07	13	52	0	0	13	52
2014-09-14	9	61	0	0	9	61
2014-09-21	14	75	0	0	14	75
2014-09-28	15	90	0	0	15	90
2014-10-05	13	103	0	0	13	103
2014-10-12	3	106	0	0	3	106
2014-10-19	1	107	0	0	1	107
2014-10-26	4	111	0	0	4	111
2014-11-02	5	116	0	0	5	116
2014-11-09	5	121	0	0	5	121
2014-11-16	22	143	0	0	22	143
2014-11-23	6	149	10	10	10	153
2014-11-30	0	149	0	10	0	153
2014-12-07	0	149	1	11	1	154
2014-12-14	0	149	2	13	2	156
2014-12-21	0	149	4	17	4	160
2014-12-28	0	149	1	18	1	161
2015-01-04	0	149	0	18	0	161
2015-01-11	0	149	0	18	0	161
2015-01-18	0	149	0	18	0	161
2015-01-25	0	149	0	18	0	161
2015-02-01	0	149	0	18	0	161
2015-02-08	0	149	0	18	0	161
2015-02-15	0	149	0	18	0	161
2015-02-22	0	149	0	18	0	161
2015-03-01	0	149	0	18	0	161
2015-03-08	1	150	0	18	1	162
2015-03-15	0	150	0	18	0	162
2015-03-22	0	150	0	18	0	162
2015-03-29	0	150	0	18	0	162
2015-04-05	0	150	0	18	0	162
2015-04-12	0	150	0	18	0	162
2015-04-19	0	150	0	18	0	162
2015-04-26	0	150	0	18	0	162
2015-05-03	0	150	0	18	0	162
2015-05-10	0	150	0	18	0	162
2015-05-17	0	150	0	18	0	162
2015-05-24	0	150	0	18	0	162
2015-05-31	0	150	0	18	0	162
2015-06-07	0	150	0	18	0	162
2015-06-14	0	150	0	18	0	162
2015-06-21	0	150	0	18	0	162
2015-06-28	0	150	0	18	0	162
2015-07-05	0	150	0	18	0	162
2015-07-12	0	150	0	18	0	162
2015-07-19	0	150	0	18	0	162
2015-07-26	0	150	0	18	0	162
2015-08-02	0	150	0	18	0	162
2015-08-09	0	150	0	18	0	162
2015-08-16	0	150	0	18	0	162
2015-08-23	0	150	0	18	0	162
2015-08-30	0	150	0	18	0	162
2015-09-06	0	150	0	18	0	162
2015-09-13	0	150	0	18	0	162
2015-09-20	0	150	0	18	0	162
2015-09-27	0	150	0	18	0	162
2015-10-04	0	150	0	18	0	162
2015-10-11	0	150	0	18	0	162
2015-10-18	0	150	0	18	0	162
2015-10-25	0	150	0	18	0	162
2015-11-01	0	150	0	18	0	162
2015-11-08	0	150	0	18	0	162
2015-11-15	0	150	0	18	0	162
2015-11-22	0	150	0	18	0	162
2015-11-29	0	150	0	18	0	162
2015-12-06	0	150	0	18	0	162
2015-12-13	0	150	0	18	0	162
2015-12-20	0	150	0	18	0	162
2015-12-27	0	150	0	18	0	162
2016-01-03	0	150	0	18	0	162
2016-01-10	0	150	0	18	0	162
2016-01-17	0	150	0	18	0	162
2016-01-24	0	150	0	18	0	162
2016-01-31	0	150	0	18	0	162
2016-02-07	0	150	0	18	0	162
2016-02-14	0	150	0	18	0	162
2016-02-21	0	150	0	18	0	162
2016-02-28	0	150	0	18	0	162
2016-03-06	0	150	0	18	0	162
2016-03-13	0	150	0	18	0	162
2016-03-20	0	150	0	18	0	162
2016-03-27	0	150	0	18	0	162
2016-04-03	0	150	0	18	0	162
2016-04-10	0	150	0	18	0	162
2016-04-17	0	150	0	18	0	162
2016-04-24	0	150	0	18	0	162
2016-05-01	0	150	0	18	0	162
2016-05-08	0	150	0	18	0	162
