GRAND.CAPE.MOUNT.patient	GRAND.CAPE.MOUNT.patientSum	GRAND.CAPE.MOUNT.situation	GRAND.CAPE.MOUNT.situationSum	GRAND.CAPE.MOUNT.combined	GRAND.CAPE.MOUNT.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	0	0	0	0	0	0
2014-08-03	1	1	0	0	1	1
2014-08-10	1	2	0	0	1	2
2014-08-17	0	2	0	0	0	2
2014-08-24	1	3	0	0	1	3
2014-08-31	0	3	0	0	0	3
2014-09-07	2	5	0	0	2	5
2014-09-14	3	8	0	0	3	8
2014-09-21	8	16	0	0	8	16
2014-09-28	3	19	0	0	3	19
2014-10-05	7	26	0	0	7	26
2014-10-12	2	28	0	0	2	28
2014-10-19	4	32	0	0	4	32
2014-10-26	4	36	0	0	4	36
2014-11-02	1	37	0	0	1	37
2014-11-09	3	40	0	0	3	40
2014-11-16	3	43	0	0	3	43
2014-11-23	22	65	21	21	22	65
2014-11-30	7	72	3	24	7	72
2014-12-07	12	84	8	32	12	84
2014-12-14	3	87	4	36	4	88
2014-12-21	3	90	6	42	6	94
2014-12-28	0	90	10	52	10	104
2015-01-04	1	91	2	54	2	106
2015-01-11	1	92	4	58	4	110
2015-01-18	0	92	2	60	2	112
2015-01-25	0	92	0	60	0	112
2015-02-01	0	92	0	60	0	112
2015-02-08	0	92	0	60	0	112
2015-02-15	4	96	0	60	4	116
2015-02-22	0	96	0	60	0	116
2015-03-01	0	96	0	60	0	116
2015-03-08	0	96	0	60	0	116
2015-03-15	0	96	0	60	0	116
2015-03-22	0	96	0	60	0	116
2015-03-29	0	96	0	60	0	116
2015-04-05	0	96	0	60	0	116
2015-04-12	0	96	0	60	0	116
2015-04-19	0	96	0	60	0	116
2015-04-26	0	96	0	60	0	116
2015-05-03	0	96	0	60	0	116
2015-05-10	0	96	0	60	0	116
2015-05-17	0	96	0	60	0	116
2015-05-24	0	96	0	60	0	116
2015-05-31	0	96	0	60	0	116
2015-06-07	0	96	0	60	0	116
2015-06-14	0	96	0	60	0	116
2015-06-21	0	96	0	60	0	116
2015-06-28	0	96	0	60	0	116
2015-07-05	0	96	0	60	0	116
2015-07-12	0	96	0	60	0	116
2015-07-19	0	96	0	60	0	116
2015-07-26	0	96	0	60	0	116
2015-08-02	0	96	0	60	0	116
2015-08-09	0	96	0	60	0	116
2015-08-16	0	96	0	60	0	116
2015-08-23	0	96	0	60	0	116
2015-08-30	0	96	0	60	0	116
2015-09-06	0	96	0	60	0	116
2015-09-13	0	96	0	60	0	116
2015-09-20	0	96	0	60	0	116
2015-09-27	0	96	0	60	0	116
2015-10-04	0	96	0	60	0	116
2015-10-11	0	96	0	60	0	116
2015-10-18	0	96	0	60	0	116
2015-10-25	0	96	0	60	0	116
2015-11-01	0	96	0	60	0	116
2015-11-08	0	96	0	60	0	116
2015-11-15	0	96	0	60	0	116
2015-11-22	0	96	0	60	0	116
2015-11-29	0	96	0	60	0	116
2015-12-06	0	96	0	60	0	116
2015-12-13	0	96	0	60	0	116
2015-12-20	0	96	0	60	0	116
2015-12-27	0	96	0	60	0	116
2016-01-03	0	96	0	60	0	116
2016-01-10	0	96	0	60	0	116
2016-01-17	0	96	0	60	0	116
2016-01-24	0	96	0	60	0	116
2016-01-31	0	96	0	60	0	116
2016-02-07	0	96	0	60	0	116
2016-02-14	0	96	0	60	0	116
2016-02-21	0	96	0	60	0	116
2016-02-28	0	96	0	60	0	116
2016-03-06	0	96	0	60	0	116
2016-03-13	0	96	0	60	0	116
2016-03-20	0	96	0	60	0	116
2016-03-27	0	96	0	60	0	116
2016-04-03	0	96	0	60	0	116
2016-04-10	0	96	0	60	0	116
2016-04-17	0	96	0	60	0	116
2016-04-24	0	96	0	60	0	116
2016-05-01	0	96	0	60	0	116
2016-05-08	0	96	0	60	0	116
