patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	1	1	0	0	1	1
2014-03-30	1	2	0	0	1	2
2014-04-06	2	4	0	0	2	4
2014-04-13	0	4	0	0	0	4
2014-04-20	0	4	0	0	0	4
2014-04-27	0	4	0	0	0	4
2014-05-04	1	5	0	0	1	5
2014-05-11	2	7	0	0	2	7
2014-05-18	0	7	0	0	0	7
2014-05-25	1	8	0	0	1	8
2014-06-01	0	8	0	0	0	8
2014-06-08	3	11	0	0	3	11
2014-06-15	17	28	0	0	17	28
2014-06-22	26	54	0	0	26	54
2014-06-29	26	80	0	0	26	80
2014-07-06	20	100	0	0	20	100
2014-07-13	25	125	0	0	25	125
2014-07-20	17	142	0	0	17	142
2014-07-27	57	199	0	0	57	199
2014-08-03	56	255	0	0	56	255
2014-08-10	136	391	0	0	136	391
2014-08-17	140	531	0	0	140	531
2014-08-24	229	760	0	0	229	760
2014-08-31	201	961	0	0	201	961
2014-09-07	270	1231	0	0	270	1231
2014-09-14	233	1464	0	0	233	1464
2014-09-21	225	1689	0	0	225	1689
2014-09-28	238	1927	0	0	238	1927
2014-10-05	152	2079	0	0	152	2079
2014-10-12	155	2234	0	0	155	2234
2014-10-19	101	2335	0	0	101	2335
2014-10-26	55	2390	0	0	55	2390
2014-11-02	67	2457	0	0	67	2457
2014-11-09	47	2504	0	0	47	2504
2014-11-16	31	2535	0	0	31	2535
2014-11-23	19	2554	44	44	50	2585
2014-11-30	26	2580	53	97	53	2638
2014-12-07	31	2611	30	127	33	2671
2014-12-14	23	2634	25	152	25	2696
2014-12-21	9	2643	8	160	9	2705
2014-12-28	24	2667	19	179	24	2729
2015-01-04	6	2673	7	186	7	2736
2015-01-11	3	2676	4	190	4	2740
2015-01-18	12	2688	6	196	12	2752
2015-01-25	4	2692	4	200	4	2756
2015-02-01	6	2698	5	205	6	2762
2015-02-08	3	2701	4	209	4	2766
2015-02-15	4	2705	5	214	5	2771
2015-02-22	1	2706	1	215	1	2772
2015-03-01	0	2706	0	215	0	2772
2015-03-08	0	2706	0	215	0	2772
2015-03-15	0	2706	0	215	0	2772
2015-03-22	1	2707	1	216	1	2773
2015-03-29	0	2707	0	216	0	2773
2015-04-05	0	2707	0	216	0	2773
2015-04-12	0	2707	0	216	0	2773
2015-04-19	0	2707	0	216	0	2773
2015-04-26	0	2707	0	216	0	2773
2015-05-03	0	2707	0	216	0	2773
2015-05-10	0	2707	0	216	0	2773
2015-05-17	0	2707	0	216	0	2773
2015-05-24	0	2707	0	216	0	2773
2015-05-31	0	2707	0	216	0	2773
2015-06-07	0	2707	0	216	0	2773
2015-06-14	0	2707	0	216	0	2773
2015-06-21	0	2707	0	216	0	2773
2015-06-28	0	2707	0	216	0	2773
2015-07-05	0	2707	3	219	3	2776
2015-07-12	0	2707	3	222	3	2779
2015-07-19	0	2707	0	222	0	2779
2015-07-26	0	2707	0	222	0	2779
2015-08-02	0	2707	0	222	0	2779
2015-08-09	0	2707	0	222	0	2779
2015-08-16	0	2707	0	222	0	2779
2015-08-23	0	2707	0	222	0	2779
2015-08-30	0	2707	0	222	0	2779
2015-09-06	0	2707	0	222	0	2779
2015-09-13	0	2707	0	222	0	2779
2015-09-20	0	2707	0	222	0	2779
2015-09-27	0	2707	0	222	0	2779
2015-10-04	0	2707	0	222	0	2779
2015-10-11	0	2707	0	222	0	2779
2015-10-18	0	2707	0	222	0	2779
2015-10-25	0	2707	0	222	0	2779
2015-11-01	0	2707	0	222	0	2779
2015-11-08	0	2707	0	222	0	2779
2015-11-15	0	2707	0	222	0	2779
2015-11-22	0	2707	3	225	3	2782
2015-11-29	0	2707	0	225	0	2782
2015-12-06	0	2707	0	225	0	2782
2015-12-13	0	2707	0	225	0	2782
2015-12-20	0	2707	0	225	0	2782
2015-12-27	0	2707	0	225	0	2782
2016-01-03	0	2707	0	225	0	2782
2016-01-10	0	2707	0	225	0	2782
2016-01-17	0	2707	0	225	0	2782
2016-01-24	0	2707	0	225	0	2782
2016-01-31	0	2707	0	225	0	2782
2016-02-07	0	2707	0	225	0	2782
2016-02-14	0	2707	0	225	0	2782
2016-02-21	0	2707	0	225	0	2782
2016-02-28	0	2707	0	225	0	2782
2016-03-06	0	2707	0	225	0	2782
2016-03-13	0	2707	0	225	0	2782
2016-03-20	0	2707	0	225	0	2782
2016-03-27	0	2707	0	225	0	2782
2016-04-03	0	2707	2	227	2	2784
2016-04-10	0	2707	1	228	1	2785
2016-04-17	0	2707	0	228	0	2785
2016-04-24	0	2707	0	228	0	2785
2016-05-01	0	2707	0	228	0	2785
2016-05-08	0	2707	0	228	0	2785
