LOFA.patient	LOFA.patientSum	LOFA.situation	LOFA.situationSum	LOFA.combined	LOFA.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	1	1	0	0	1	1
2014-03-30	0	1	0	0	0	1
2014-04-06	2	3	0	0	2	3
2014-04-13	0	3	0	0	0	3
2014-04-20	0	3	0	0	0	3
2014-04-27	0	3	0	0	0	3
2014-05-04	1	4	0	0	1	4
2014-05-11	1	5	0	0	1	5
2014-05-18	0	5	0	0	0	5
2014-05-25	0	5	0	0	0	5
2014-06-01	0	5	0	0	0	5
2014-06-08	2	7	0	0	2	7
2014-06-15	11	18	0	0	11	18
2014-06-22	21	39	0	0	21	39
2014-06-29	14	53	0	0	14	53
2014-07-06	13	66	0	0	13	66
2014-07-13	8	74	0	0	8	74
2014-07-20	3	77	0	0	3	77
2014-07-27	29	106	0	0	29	106
2014-08-03	21	127	0	0	21	127
2014-08-10	35	162	0	0	35	162
2014-08-17	36	198	0	0	36	198
2014-08-24	48	246	0	0	48	246
2014-08-31	28	274	0	0	28	274
2014-09-07	22	296	0	0	22	296
2014-09-14	9	305	0	0	9	305
2014-09-21	12	317	0	0	12	317
2014-09-28	1	318	0	0	1	318
2014-10-05	2	320	0	0	2	320
2014-10-12	6	326	0	0	6	326
2014-10-19	2	328	0	0	2	328
2014-10-26	0	328	0	0	0	328
2014-11-02	0	328	0	0	0	328
2014-11-09	1	329	0	0	1	329
2014-11-16	0	329	0	0	0	329
2014-11-23	0	329	0	0	0	329
2014-11-30	0	329	0	0	0	329
2014-12-07	0	329	0	0	0	329
2014-12-14	0	329	0	0	0	329
2014-12-21	0	329	0	0	0	329
2014-12-28	0	329	0	0	0	329
2015-01-04	0	329	0	0	0	329
2015-01-11	0	329	0	0	0	329
2015-01-18	0	329	0	0	0	329
2015-01-25	0	329	0	0	0	329
2015-02-01	0	329	0	0	0	329
2015-02-08	0	329	0	0	0	329
2015-02-15	0	329	0	0	0	329
2015-02-22	0	329	0	0	0	329
2015-03-01	0	329	0	0	0	329
2015-03-08	0	329	0	0	0	329
2015-03-15	0	329	0	0	0	329
2015-03-22	0	329	0	0	0	329
2015-03-29	0	329	0	0	0	329
2015-04-05	0	329	0	0	0	329
2015-04-12	0	329	0	0	0	329
2015-04-19	0	329	0	0	0	329
2015-04-26	0	329	0	0	0	329
2015-05-03	0	329	0	0	0	329
2015-05-10	0	329	0	0	0	329
2015-05-17	0	329	0	0	0	329
2015-05-24	0	329	0	0	0	329
2015-05-31	0	329	0	0	0	329
2015-06-07	0	329	0	0	0	329
2015-06-14	0	329	0	0	0	329
2015-06-21	0	329	0	0	0	329
2015-06-28	0	329	0	0	0	329
2015-07-05	0	329	0	0	0	329
2015-07-12	0	329	0	0	0	329
2015-07-19	0	329	0	0	0	329
2015-07-26	0	329	0	0	0	329
2015-08-02	0	329	0	0	0	329
2015-08-09	0	329	0	0	0	329
2015-08-16	0	329	0	0	0	329
2015-08-23	0	329	0	0	0	329
2015-08-30	0	329	0	0	0	329
2015-09-06	0	329	0	0	0	329
2015-09-13	0	329	0	0	0	329
2015-09-20	0	329	0	0	0	329
2015-09-27	0	329	0	0	0	329
2015-10-04	0	329	0	0	0	329
2015-10-11	0	329	0	0	0	329
2015-10-18	0	329	0	0	0	329
2015-10-25	0	329	0	0	0	329
2015-11-01	0	329	0	0	0	329
2015-11-08	0	329	0	0	0	329
2015-11-15	0	329	0	0	0	329
2015-11-22	0	329	0	0	0	329
2015-11-29	0	329	0	0	0	329
2015-12-06	0	329	0	0	0	329
2015-12-13	0	329	0	0	0	329
2015-12-20	0	329	0	0	0	329
2015-12-27	0	329	0	0	0	329
2016-01-03	0	329	0	0	0	329
2016-01-10	0	329	0	0	0	329
2016-01-17	0	329	0	0	0	329
2016-01-24	0	329	0	0	0	329
2016-01-31	0	329	0	0	0	329
2016-02-07	0	329	0	0	0	329
2016-02-14	0	329	0	0	0	329
2016-02-21	0	329	0	0	0	329
2016-02-28	0	329	0	0	0	329
2016-03-06	0	329	0	0	0	329
2016-03-13	0	329	0	0	0	329
2016-03-20	0	329	0	0	0	329
2016-03-27	0	329	0	0	0	329
2016-04-03	0	329	0	0	0	329
2016-04-10	0	329	0	0	0	329
2016-04-17	0	329	0	0	0	329
2016-04-24	0	329	0	0	0	329
2016-05-01	0	329	0	0	0	329
2016-05-08	0	329	0	0	0	329
