MARGIBI.patient	MARGIBI.patientSum	MARGIBI.situation	MARGIBI.situationSum	MARGIBI.combined	MARGIBI.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	1	1	0	0	1	1
2014-04-06	0	1	0	0	0	1
2014-04-13	0	1	0	0	0	1
2014-04-20	0	1	0	0	0	1
2014-04-27	0	1	0	0	0	1
2014-05-04	0	1	0	0	0	1
2014-05-11	0	1	0	0	0	1
2014-05-18	0	1	0	0	0	1
2014-05-25	0	1	0	0	0	1
2014-06-01	0	1	0	0	0	1
2014-06-08	0	1	0	0	0	1
2014-06-15	1	2	0	0	1	2
2014-06-22	0	2	0	0	0	2
2014-06-29	1	3	0	0	1	3
2014-07-06	1	4	0	0	1	4
2014-07-13	1	5	0	0	1	5
2014-07-20	1	6	0	0	1	6
2014-07-27	4	10	0	0	4	10
2014-08-03	12	22	0	0	12	22
2014-08-10	28	50	0	0	28	50
2014-08-17	15	65	0	0	15	65
2014-08-24	52	117	0	0	52	117
2014-08-31	18	135	0	0	18	135
2014-09-07	39	174	0	0	39	174
2014-09-14	30	204	0	0	30	204
2014-09-21	43	247	0	0	43	247
2014-09-28	37	284	0	0	37	284
2014-10-05	39	323	0	0	39	323
2014-10-12	13	336	0	0	13	336
2014-10-19	19	355	0	0	19	355
2014-10-26	14	369	0	0	14	369
2014-11-02	6	375	0	0	6	375
2014-11-09	10	385	0	0	10	385
2014-11-16	5	390	0	0	5	390
2014-11-23	8	398	2	2	8	398
2014-11-30	1	399	1	3	1	399
2014-12-07	0	399	2	5	2	401
2014-12-14	0	399	1	6	1	402
2014-12-21	0	399	0	6	0	402
2014-12-28	1	400	0	6	1	403
2015-01-04	0	400	1	7	1	404
2015-01-11	0	400	0	7	0	404
2015-01-18	0	400	0	7	0	404
2015-01-25	0	400	0	7	0	404
2015-02-01	0	400	0	7	0	404
2015-02-08	0	400	0	7	0	404
2015-02-15	0	400	1	8	1	405
2015-02-22	0	400	0	8	0	405
2015-03-01	0	400	0	8	0	405
2015-03-08	0	400	0	8	0	405
2015-03-15	0	400	0	8	0	405
2015-03-22	0	400	0	8	0	405
2015-03-29	0	400	0	8	0	405
2015-04-05	0	400	0	8	0	405
2015-04-12	0	400	0	8	0	405
2015-04-19	0	400	0	8	0	405
2015-04-26	0	400	0	8	0	405
2015-05-03	0	400	0	8	0	405
2015-05-10	0	400	0	8	0	405
2015-05-17	0	400	0	8	0	405
2015-05-24	0	400	0	8	0	405
2015-05-31	0	400	0	8	0	405
2015-06-07	0	400	0	8	0	405
2015-06-14	0	400	0	8	0	405
2015-06-21	0	400	0	8	0	405
2015-06-28	0	400	0	8	0	405
2015-07-05	0	400	3	11	3	408
2015-07-12	0	400	2	13	2	410
2015-07-19	0	400	0	13	0	410
2015-07-26	0	400	0	13	0	410
2015-08-02	0	400	0	13	0	410
2015-08-09	0	400	0	13	0	410
2015-08-16	0	400	0	13	0	410
2015-08-23	0	400	0	13	0	410
2015-08-30	0	400	0	13	0	410
2015-09-06	0	400	0	13	0	410
2015-09-13	0	400	0	13	0	410
2015-09-20	0	400	0	13	0	410
2015-09-27	0	400	0	13	0	410
2015-10-04	0	400	0	13	0	410
2015-10-11	0	400	0	13	0	410
2015-10-18	0	400	0	13	0	410
2015-10-25	0	400	0	13	0	410
2015-11-01	0	400	0	13	0	410
2015-11-08	0	400	0	13	0	410
2015-11-15	0	400	0	13	0	410
2015-11-22	0	400	0	13	0	410
2015-11-29	0	400	0	13	0	410
2015-12-06	0	400	0	13	0	410
2015-12-13	0	400	0	13	0	410
2015-12-20	0	400	0	13	0	410
2015-12-27	0	400	0	13	0	410
2016-01-03	0	400	0	13	0	410
2016-01-10	0	400	0	13	0	410
2016-01-17	0	400	0	13	0	410
2016-01-24	0	400	0	13	0	410
2016-01-31	0	400	0	13	0	410
2016-02-07	0	400	0	13	0	410
2016-02-14	0	400	0	13	0	410
2016-02-21	0	400	0	13	0	410
2016-02-28	0	400	0	13	0	410
2016-03-06	0	400	0	13	0	410
2016-03-13	0	400	0	13	0	410
2016-03-20	0	400	0	13	0	410
2016-03-27	0	400	0	13	0	410
2016-04-03	0	400	0	13	0	410
2016-04-10	0	400	0	13	0	410
2016-04-17	0	400	0	13	0	410
2016-04-24	0	400	0	13	0	410
2016-05-01	0	400	0	13	0	410
2016-05-08	0	400	0	13	0	410
