MONTSERRADO.patient	MONTSERRADO.patientSum	MONTSERRADO.situation	MONTSERRADO.situationSum	MONTSERRADO.combined	MONTSERRADO.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	1	1	0	0	1	1
2014-05-18	0	1	0	0	0	1
2014-05-25	1	2	0	0	1	2
2014-06-01	0	2	0	0	0	2
2014-06-08	1	3	0	0	1	3
2014-06-15	5	8	0	0	5	8
2014-06-22	5	13	0	0	5	13
2014-06-29	11	24	0	0	11	24
2014-07-06	6	30	0	0	6	30
2014-07-13	16	46	0	0	16	46
2014-07-20	13	59	0	0	13	59
2014-07-27	24	83	0	0	24	83
2014-08-03	23	106	0	0	23	106
2014-08-10	73	179	0	0	73	179
2014-08-17	89	268	0	0	89	268
2014-08-24	129	397	0	0	129	397
2014-08-31	155	552	0	0	155	552
2014-09-07	209	761	0	0	209	761
2014-09-14	194	955	0	0	194	955
2014-09-21	170	1125	0	0	170	1125
2014-09-28	200	1325	0	0	200	1325
2014-10-05	111	1436	0	0	111	1436
2014-10-12	136	1572	0	0	136	1572
2014-10-19	80	1652	0	0	80	1652
2014-10-26	41	1693	0	0	41	1693
2014-11-02	61	1754	0	0	61	1754
2014-11-09	36	1790	0	0	36	1790
2014-11-16	26	1816	0	0	26	1816
2014-11-23	11	1827	42	42	42	1858
2014-11-30	25	1852	52	94	52	1910
2014-12-07	31	1883	28	122	31	1941
2014-12-14	23	1906	24	146	24	1965
2014-12-21	9	1915	8	154	9	1974
2014-12-28	23	1938	19	173	23	1997
2015-01-04	6	1944	6	179	6	2003
2015-01-11	3	1947	4	183	4	2007
2015-01-18	12	1959	6	189	12	2019
2015-01-25	4	1963	4	193	4	2023
2015-02-01	6	1969	5	198	6	2029
2015-02-08	3	1972	4	202	4	2033
2015-02-15	4	1976	4	206	4	2037
2015-02-22	1	1977	1	207	1	2038
2015-03-01	0	1977	0	207	0	2038
2015-03-08	0	1977	0	207	0	2038
2015-03-15	0	1977	0	207	0	2038
2015-03-22	1	1978	1	208	1	2039
2015-03-29	0	1978	0	208	0	2039
2015-04-05	0	1978	0	208	0	2039
2015-04-12	0	1978	0	208	0	2039
2015-04-19	0	1978	0	208	0	2039
2015-04-26	0	1978	0	208	0	2039
2015-05-03	0	1978	0	208	0	2039
2015-05-10	0	1978	0	208	0	2039
2015-05-17	0	1978	0	208	0	2039
2015-05-24	0	1978	0	208	0	2039
2015-05-31	0	1978	0	208	0	2039
2015-06-07	0	1978	0	208	0	2039
2015-06-14	0	1978	0	208	0	2039
2015-06-21	0	1978	0	208	0	2039
2015-06-28	0	1978	0	208	0	2039
2015-07-05	0	1978	0	208	0	2039
2015-07-12	0	1978	1	209	1	2040
2015-07-19	0	1978	0	209	0	2040
2015-07-26	0	1978	0	209	0	2040
2015-08-02	0	1978	0	209	0	2040
2015-08-09	0	1978	0	209	0	2040
2015-08-16	0	1978	0	209	0	2040
2015-08-23	0	1978	0	209	0	2040
2015-08-30	0	1978	0	209	0	2040
2015-09-06	0	1978	0	209	0	2040
2015-09-13	0	1978	0	209	0	2040
2015-09-20	0	1978	0	209	0	2040
2015-09-27	0	1978	0	209	0	2040
2015-10-04	0	1978	0	209	0	2040
2015-10-11	0	1978	0	209	0	2040
2015-10-18	0	1978	0	209	0	2040
2015-10-25	0	1978	0	209	0	2040
2015-11-01	0	1978	0	209	0	2040
2015-11-08	0	1978	0	209	0	2040
2015-11-15	0	1978	0	209	0	2040
2015-11-22	0	1978	3	212	3	2043
2015-11-29	0	1978	0	212	0	2043
2015-12-06	0	1978	0	212	0	2043
2015-12-13	0	1978	0	212	0	2043
2015-12-20	0	1978	0	212	0	2043
2015-12-27	0	1978	0	212	0	2043
2016-01-03	0	1978	0	212	0	2043
2016-01-10	0	1978	0	212	0	2043
2016-01-17	0	1978	0	212	0	2043
2016-01-24	0	1978	0	212	0	2043
2016-01-31	0	1978	0	212	0	2043
2016-02-07	0	1978	0	212	0	2043
2016-02-14	0	1978	0	212	0	2043
2016-02-21	0	1978	0	212	0	2043
2016-02-28	0	1978	0	212	0	2043
2016-03-06	0	1978	0	212	0	2043
2016-03-13	0	1978	0	212	0	2043
2016-03-20	0	1978	0	212	0	2043
2016-03-27	0	1978	0	212	0	2043
2016-04-03	0	1978	2	214	2	2045
2016-04-10	0	1978	1	215	1	2046
2016-04-17	0	1978	0	215	0	2046
2016-04-24	0	1978	0	215	0	2046
2016-05-01	0	1978	0	215	0	2046
2016-05-08	0	1978	0	215	0	2046
