SINOE.patient	SINOE.patientSum	SINOE.situation	SINOE.situationSum	SINOE.combined	SINOE.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	0	0	0	0	0	0
2014-08-03	0	0	0	0	0	0
2014-08-10	0	0	0	0	0	0
2014-08-17	0	0	0	0	0	0
2014-08-24	1	1	0	0	1	1
2014-08-31	0	1	0	0	0	1
2014-09-07	0	1	0	0	0	1
2014-09-14	0	1	0	0	0	1
2014-09-21	3	4	0	0	3	4
2014-09-28	0	4	0	0	0	4
2014-10-05	2	6	0	0	2	6
2014-10-12	5	11	0	0	5	11
2014-10-19	2	13	0	0	2	13
2014-10-26	0	13	0	0	0	13
2014-11-02	3	16	0	0	3	16
2014-11-09	0	16	0	0	0	16
2014-11-16	0	16	0	0	0	16
2014-11-23	0	16	0	0	0	16
2014-11-30	0	16	0	0	0	16
2014-12-07	0	16	1	1	1	17
2014-12-14	1	17	4	5	4	21
2014-12-21	0	17	0	5	0	21
2014-12-28	0	17	1	6	1	22
2015-01-04	0	17	0	6	0	22
2015-01-11	0	17	0	6	0	22
2015-01-18	0	17	0	6	0	22
2015-01-25	0	17	0	6	0	22
2015-02-01	0	17	0	6	0	22
2015-02-08	0	17	0	6	0	22
2015-02-15	0	17	0	6	0	22
2015-02-22	0	17	0	6	0	22
2015-03-01	0	17	0	6	0	22
2015-03-08	0	17	0	6	0	22
2015-03-15	0	17	0	6	0	22
2015-03-22	0	17	0	6	0	22
2015-03-29	0	17	0	6	0	22
2015-04-05	0	17	0	6	0	22
2015-04-12	0	17	0	6	0	22
2015-04-19	0	17	0	6	0	22
2015-04-26	0	17	0	6	0	22
2015-05-03	0	17	0	6	0	22
2015-05-10	0	17	0	6	0	22
2015-05-17	0	17	0	6	0	22
2015-05-24	0	17	0	6	0	22
2015-05-31	0	17	0	6	0	22
2015-06-07	0	17	0	6	0	22
2015-06-14	0	17	0	6	0	22
2015-06-21	0	17	0	6	0	22
2015-06-28	0	17	0	6	0	22
2015-07-05	0	17	0	6	0	22
2015-07-12	0	17	0	6	0	22
2015-07-19	0	17	0	6	0	22
2015-07-26	0	17	0	6	0	22
2015-08-02	0	17	0	6	0	22
2015-08-09	0	17	0	6	0	22
2015-08-16	0	17	0	6	0	22
2015-08-23	0	17	0	6	0	22
2015-08-30	0	17	0	6	0	22
2015-09-06	0	17	0	6	0	22
2015-09-13	0	17	0	6	0	22
2015-09-20	0	17	0	6	0	22
2015-09-27	0	17	0	6	0	22
2015-10-04	0	17	0	6	0	22
2015-10-11	0	17	0	6	0	22
2015-10-18	0	17	0	6	0	22
2015-10-25	0	17	0	6	0	22
2015-11-01	0	17	0	6	0	22
2015-11-08	0	17	0	6	0	22
2015-11-15	0	17	0	6	0	22
2015-11-22	0	17	0	6	0	22
2015-11-29	0	17	0	6	0	22
2015-12-06	0	17	0	6	0	22
2015-12-13	0	17	0	6	0	22
2015-12-20	0	17	0	6	0	22
2015-12-27	0	17	0	6	0	22
2016-01-03	0	17	0	6	0	22
2016-01-10	0	17	0	6	0	22
2016-01-17	0	17	0	6	0	22
2016-01-24	0	17	0	6	0	22
2016-01-31	0	17	0	6	0	22
2016-02-07	0	17	0	6	0	22
2016-02-14	0	17	0	6	0	22
2016-02-21	0	17	0	6	0	22
2016-02-28	0	17	0	6	0	22
2016-03-06	0	17	0	6	0	22
2016-03-13	0	17	0	6	0	22
2016-03-20	0	17	0	6	0	22
2016-03-27	0	17	0	6	0	22
2016-04-03	0	17	0	6	0	22
2016-04-10	0	17	0	6	0	22
2016-04-17	0	17	0	6	0	22
2016-04-24	0	17	0	6	0	22
2016-05-01	0	17	0	6	0	22
2016-05-08	0	17	0	6	0	22
