patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	3	3	0	0	3	3
2014-06-01	17	20	0	0	17	20
2014-06-08	32	52	0	0	32	52
2014-06-15	65	117	0	0	65	117
2014-06-22	59	176	0	0	59	176
2014-06-29	49	225	0	0	49	225
2014-07-06	88	313	0	0	88	313
2014-07-13	106	419	0	0	106	419
2014-07-20	77	496	0	0	77	496
2014-07-27	98	594	0	0	98	594
2014-08-03	144	738	0	0	144	738
2014-08-10	135	873	0	0	135	873
2014-08-17	127	1000	0	0	127	1000
2014-08-24	174	1174	0	0	174	1174
2014-08-31	190	1364	0	0	190	1364
2014-09-07	217	1581	0	0	217	1581
2014-09-14	233	1814	0	0	233	1814
2014-09-21	389	2203	254	254	389	2203
2014-09-28	394	2597	350	604	394	2597
2014-10-05	365	2962	315	919	365	2962
2014-10-12	368	3330	371	1290	371	3333
2014-10-19	456	3786	386	1676	456	3789
2014-10-26	460	4246	399	2075	460	4249
2014-11-02	507	4753	435	2510	507	4756
2014-11-09	512	5265	421	2931	512	5268
2014-11-16	465	5730	533	3464	533	5801
2014-11-23	437	6167	385	3849	437	6238
2014-11-30	578	6745	537	4386	578	6816
2014-12-07	389	7134	397	4783	397	7213
2014-12-14	397	7531	327	5110	397	7610
2014-12-21	364	7895	315	5425	364	7974
2014-12-28	429	8324	337	5762	429	8403
2015-01-04	347	8671	248	6010	347	8750
2015-01-11	288	8959	184	6194	288	9038
2015-01-18	121	9080	117	6311	121	9159
2015-01-25	108	9188	65	6376	108	9267
2015-02-01	85	9273	80	6456	85	9352
2015-02-08	90	9363	76	6532	90	9442
2015-02-15	101	9464	96	6628	101	9543
2015-02-22	82	9546	63	6691	82	9625
2015-03-01	67	9613	81	6772	81	9706
2015-03-08	92	9705	58	6830	92	9798
2015-03-15	35	9740	55	6885	55	9853
2015-03-22	36	9776	33	6918	36	9889
2015-03-29	22	9798	25	6943	25	9914
2015-04-05	11	9809	9	6952	11	9925
2015-04-12	15	9824	9	6961	15	9940
2015-04-19	17	9841	12	6973	17	9957
2015-04-26	6	9847	11	6984	11	9968
2015-05-03	8	9855	9	6993	9	9977
2015-05-10	3	9858	2	6995	3	9980
2015-05-17	8	9866	8	7003	8	9988
2015-05-24	7	9873	3	7006	7	9995
2015-05-31	14	9887	12	7018	14	10009
2015-06-07	15	9902	15	7033	15	10024
2015-06-14	14	9916	14	7047	14	10038
2015-06-21	8	9924	8	7055	8	10046
2015-06-28	9	9933	8	7063	9	10055
2015-07-05	9	9942	9	7072	9	10064
2015-07-12	7	9949	14	7086	14	10078
2015-07-19	7	9956	3	7089	7	10085
2015-07-26	3	9959	3	7092	3	10088
2015-08-02	2	9961	2	7094	2	10090
2015-08-09	1	9962	1	7095	1	10091
2015-08-16	0	9962	0	7095	0	10091
2015-08-23	2	9964	0	7095	2	10093
2015-08-30	0	9964	1	7096	1	10094
2015-09-06	0	9964	1	7097	1	10095
2015-09-13	0	9964	5	7102	5	10100
2015-09-20	0	9964	0	7102	0	10100
2015-09-27	0	9964	0	7102	0	10100
2015-10-04	0	9964	0	7102	0	10100
2015-10-11	0	9964	0	7102	0	10100
2015-10-18	0	9964	0	7102	0	10100
2015-10-25	0	9964	0	7102	0	10100
2015-11-01	0	9964	0	7102	0	10100
2015-11-08	0	9964	0	7102	0	10100
2015-11-15	0	9964	0	7102	0	10100
2015-11-22	0	9964	0	7102	0	10100
2015-11-29	0	9964	0	7102	0	10100
2015-12-06	0	9964	0	7102	0	10100
2015-12-13	0	9964	0	7102	0	10100
2015-12-20	0	9964	0	7102	0	10100
2015-12-27	0	9964	0	7102	0	10100
2016-01-03	0	9964	0	7102	0	10100
2016-01-10	0	9964	0	7102	0	10100
2016-01-17	0	9964	1	7103	1	10101
2016-01-24	0	9964	1	7104	1	10102
2016-01-31	0	9964	0	7104	0	10102
2016-02-07	0	9964	0	7104	0	10102
2016-02-14	0	9964	0	7104	0	10102
2016-02-21	0	9964	0	7104	0	10102
2016-02-28	0	9964	0	7104	0	10102
2016-03-06	0	9964	0	7104	0	10102
2016-03-13	0	9964	0	7104	0	10102
2016-03-20	0	9964	0	7104	0	10102
2016-03-27	0	9964	0	7104	0	10102
2016-04-03	0	9964	0	7104	0	10102
2016-04-10	0	9964	0	7104	0	10102
2016-04-17	0	9964	0	7104	0	10102
2016-04-24	0	9964	0	7104	0	10102
2016-05-01	0	9964	0	7104	0	10102
2016-05-08	0	9964	0	7104	0	10102
