patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	3	3	0	0	3	3
2014-06-01	17	20	0	0	17	20
2014-06-08	29	49	0	0	29	49
2014-06-15	62	111	0	0	62	111
2014-06-22	55	166	0	0	55	166
2014-06-29	47	213	0	0	47	213
2014-07-06	84	297	0	0	84	297
2014-07-13	101	398	0	0	101	398
2014-07-20	68	466	0	0	68	466
2014-07-27	77	543	0	0	77	543
2014-08-03	119	662	0	0	119	662
2014-08-10	91	753	0	0	91	753
2014-08-17	77	830	0	0	77	830
2014-08-24	66	896	0	0	66	896
2014-08-31	54	950	0	0	54	950
2014-09-07	61	1011	0	0	61	1011
2014-09-14	44	1055	0	0	44	1055
2014-09-21	18	1073	34	34	34	1089
2014-09-28	23	1096	10	44	23	1112
2014-10-05	21	1117	15	59	21	1133
2014-10-12	32	1149	22	81	32	1165
2014-10-19	39	1188	40	121	47	1212
2014-10-26	17	1205	23	144	25	1237
2014-11-02	19	1224	15	159	20	1257
2014-11-09	16	1240	10	169	16	1273
2014-11-16	30	1270	13	182	30	1303
2014-11-23	32	1302	19	201	32	1335
2014-11-30	36	1338	16	217	36	1371
2014-12-07	19	1357	24	241	24	1395
2014-12-14	51	1408	16	257	52	1447
2014-12-21	23	1431	14	271	23	1470
2014-12-28	93	1524	39	310	93	1563
2015-01-04	47	1571	33	343	48	1611
2015-01-11	36	1607	14	357	36	1647
2015-01-18	10	1617	14	371	14	1661
2015-01-25	8	1625	1	372	8	1669
2015-02-01	9	1634	9	381	9	1678
2015-02-08	2	1636	5	386	5	1683
2015-02-15	0	1636	0	386	0	1683
2015-02-22	2	1638	2	388	2	1685
2015-03-01	1	1639	1	389	1	1686
2015-03-08	1	1640	0	389	1	1687
2015-03-15	0	1640	0	389	0	1687
2015-03-22	0	1640	0	389	0	1687
2015-03-29	0	1640	0	389	0	1687
2015-04-05	0	1640	0	389	0	1687
2015-04-12	0	1640	0	389	0	1687
2015-04-19	0	1640	0	389	0	1687
2015-04-26	0	1640	0	389	0	1687
2015-05-03	0	1640	0	389	0	1687
2015-05-10	0	1640	0	389	0	1687
2015-05-17	0	1640	0	389	0	1687
2015-05-24	0	1640	0	389	0	1687
2015-05-31	0	1640	0	389	0	1687
2015-06-07	0	1640	0	389	0	1687
2015-06-14	0	1640	0	389	0	1687
2015-06-21	0	1640	0	389	0	1687
2015-06-28	0	1640	0	389	0	1687
2015-07-05	0	1640	0	389	0	1687
2015-07-12	0	1640	0	389	0	1687
2015-07-19	0	1640	0	389	0	1687
2015-07-26	0	1640	0	389	0	1687
2015-08-02	0	1640	0	389	0	1687
2015-08-09	0	1640	0	389	0	1687
2015-08-16	0	1640	0	389	0	1687
2015-08-23	0	1640	0	389	0	1687
2015-08-30	0	1640	0	389	0	1687
2015-09-06	0	1640	0	389	0	1687
2015-09-13	0	1640	0	389	0	1687
2015-09-20	0	1640	0	389	0	1687
2015-09-27	0	1640	0	389	0	1687
2015-10-04	0	1640	0	389	0	1687
2015-10-11	0	1640	0	389	0	1687
2015-10-18	0	1640	0	389	0	1687
2015-10-25	0	1640	0	389	0	1687
2015-11-01	0	1640	0	389	0	1687
2015-11-08	0	1640	0	389	0	1687
2015-11-15	0	1640	0	389	0	1687
2015-11-22	0	1640	0	389	0	1687
2015-11-29	0	1640	0	389	0	1687
2015-12-06	0	1640	0	389	0	1687
2015-12-13	0	1640	0	389	0	1687
2015-12-20	0	1640	0	389	0	1687
2015-12-27	0	1640	0	389	0	1687
2016-01-03	0	1640	0	389	0	1687
2016-01-10	0	1640	0	389	0	1687
2016-01-17	0	1640	0	389	0	1687
2016-01-24	0	1640	0	389	0	1687
2016-01-31	0	1640	0	389	0	1687
2016-02-07	0	1640	0	389	0	1687
2016-02-14	0	1640	0	389	0	1687
2016-02-21	0	1640	0	389	0	1687
2016-02-28	0	1640	0	389	0	1687
2016-03-06	0	1640	0	389	0	1687
2016-03-13	0	1640	0	389	0	1687
2016-03-20	0	1640	0	389	0	1687
2016-03-27	0	1640	0	389	0	1687
2016-04-03	0	1640	0	389	0	1687
2016-04-10	0	1640	0	389	0	1687
2016-04-17	0	1640	0	389	0	1687
2016-04-24	0	1640	0	389	0	1687
2016-05-01	0	1640	0	389	0	1687
2016-05-08	0	1640	0	389	0	1687
