KAILAHUN.patient	KAILAHUN.patientSum	KAILAHUN.situation	KAILAHUN.situationSum	KAILAHUN.combined	KAILAHUN.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	3	3	0	0	3	3
2014-06-01	17	20	0	0	17	20
2014-06-08	28	48	0	0	28	48
2014-06-15	61	109	0	0	61	109
2014-06-22	36	145	0	0	36	145
2014-06-29	30	175	0	0	30	175
2014-07-06	50	225	0	0	50	225
2014-07-13	78	303	0	0	78	303
2014-07-20	37	340	0	0	37	340
2014-07-27	31	371	0	0	31	371
2014-08-03	76	447	0	0	76	447
2014-08-10	46	493	0	0	46	493
2014-08-17	26	519	0	0	26	519
2014-08-24	20	539	0	0	20	539
2014-08-31	27	566	0	0	27	566
2014-09-07	23	589	0	0	23	589
2014-09-14	11	600	0	0	11	600
2014-09-21	9	609	23	23	23	623
2014-09-28	7	616	0	23	7	630
2014-10-05	4	620	3	26	4	634
2014-10-12	4	624	3	29	4	638
2014-10-19	18	642	11	40	18	656
2014-10-26	3	645	6	46	6	662
2014-11-02	3	648	4	50	4	666
2014-11-09	3	651	3	53	3	669
2014-11-16	1	652	1	54	1	670
2014-11-23	3	655	2	56	3	673
2014-11-30	1	656	1	57	1	674
2014-12-07	0	656	0	57	0	674
2014-12-14	2	658	3	60	3	677
2014-12-21	0	658	0	60	0	677
2014-12-28	0	658	0	60	0	677
2015-01-04	0	658	0	60	0	677
2015-01-11	0	658	0	60	0	677
2015-01-18	0	658	0	60	0	677
2015-01-25	0	658	0	60	0	677
2015-02-01	0	658	0	60	0	677
2015-02-08	0	658	0	60	0	677
2015-02-15	0	658	0	60	0	677
2015-02-22	0	658	0	60	0	677
2015-03-01	0	658	0	60	0	677
2015-03-08	0	658	0	60	0	677
2015-03-15	0	658	0	60	0	677
2015-03-22	0	658	0	60	0	677
2015-03-29	0	658	0	60	0	677
2015-04-05	0	658	0	60	0	677
2015-04-12	0	658	0	60	0	677
2015-04-19	0	658	0	60	0	677
2015-04-26	0	658	0	60	0	677
2015-05-03	0	658	0	60	0	677
2015-05-10	0	658	0	60	0	677
2015-05-17	0	658	0	60	0	677
2015-05-24	0	658	0	60	0	677
2015-05-31	0	658	0	60	0	677
2015-06-07	0	658	0	60	0	677
2015-06-14	0	658	0	60	0	677
2015-06-21	0	658	0	60	0	677
2015-06-28	0	658	0	60	0	677
2015-07-05	0	658	0	60	0	677
2015-07-12	0	658	0	60	0	677
2015-07-19	0	658	0	60	0	677
2015-07-26	0	658	0	60	0	677
2015-08-02	0	658	0	60	0	677
2015-08-09	0	658	0	60	0	677
2015-08-16	0	658	0	60	0	677
2015-08-23	0	658	0	60	0	677
2015-08-30	0	658	0	60	0	677
2015-09-06	0	658	0	60	0	677
2015-09-13	0	658	0	60	0	677
2015-09-20	0	658	0	60	0	677
2015-09-27	0	658	0	60	0	677
2015-10-04	0	658	0	60	0	677
2015-10-11	0	658	0	60	0	677
2015-10-18	0	658	0	60	0	677
2015-10-25	0	658	0	60	0	677
2015-11-01	0	658	0	60	0	677
2015-11-08	0	658	0	60	0	677
2015-11-15	0	658	0	60	0	677
2015-11-22	0	658	0	60	0	677
2015-11-29	0	658	0	60	0	677
2015-12-06	0	658	0	60	0	677
2015-12-13	0	658	0	60	0	677
2015-12-20	0	658	0	60	0	677
2015-12-27	0	658	0	60	0	677
2016-01-03	0	658	0	60	0	677
2016-01-10	0	658	0	60	0	677
2016-01-17	0	658	0	60	0	677
2016-01-24	0	658	0	60	0	677
2016-01-31	0	658	0	60	0	677
2016-02-07	0	658	0	60	0	677
2016-02-14	0	658	0	60	0	677
2016-02-21	0	658	0	60	0	677
2016-02-28	0	658	0	60	0	677
2016-03-06	0	658	0	60	0	677
2016-03-13	0	658	0	60	0	677
2016-03-20	0	658	0	60	0	677
2016-03-27	0	658	0	60	0	677
2016-04-03	0	658	0	60	0	677
2016-04-10	0	658	0	60	0	677
2016-04-17	0	658	0	60	0	677
2016-04-24	0	658	0	60	0	677
2016-05-01	0	658	0	60	0	677
2016-05-08	0	658	0	60	0	677
