patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	3	3	0	0	3	3
2014-06-01	17	20	0	0	17	20
2014-06-08	29	49	0	0	29	49
2014-06-15	62	111	0	0	62	111
2014-06-22	55	166	0	0	55	166
2014-06-29	47	213	0	0	47	213
2014-07-06	82	295	0	0	82	295
2014-07-13	101	396	0	0	101	396
2014-07-20	68	464	0	0	68	464
2014-07-27	77	541	0	0	77	541
2014-08-03	118	659	0	0	118	659
2014-08-10	91	750	0	0	91	750
2014-08-17	77	827	0	0	77	827
2014-08-24	66	893	0	0	66	893
2014-08-31	51	944	0	0	51	944
2014-09-07	52	996	0	0	52	996
2014-09-14	36	1032	0	0	36	1032
2014-09-21	15	1047	31	31	31	1063
2014-09-28	17	1064	10	41	17	1080
2014-10-05	11	1075	8	49	11	1091
2014-10-12	26	1101	16	65	26	1117
2014-10-19	36	1137	37	102	44	1161
2014-10-26	11	1148	19	121	19	1180
2014-11-02	16	1164	14	135	17	1197
2014-11-09	4	1168	3	138	4	1201
2014-11-16	1	1169	1	139	1	1202
2014-11-23	5	1174	3	142	5	1207
2014-11-30	2	1176	1	143	2	1209
2014-12-07	0	1176	0	143	0	1209
2014-12-14	6	1182	4	147	7	1216
2014-12-21	2	1184	1	148	2	1218
2014-12-28	0	1184	0	148	0	1218
2015-01-04	0	1184	1	149	1	1219
2015-01-11	0	1184	0	149	0	1219
2015-01-18	1	1185	1	150	1	1220
2015-01-25	0	1185	0	150	0	1220
2015-02-01	4	1189	4	154	4	1224
2015-02-08	0	1189	0	154	0	1224
2015-02-15	0	1189	0	154	0	1224
2015-02-22	1	1190	1	155	1	1225
2015-03-01	0	1190	0	155	0	1225
2015-03-08	0	1190	0	155	0	1225
2015-03-15	0	1190	0	155	0	1225
2015-03-22	0	1190	0	155	0	1225
2015-03-29	0	1190	0	155	0	1225
2015-04-05	0	1190	0	155	0	1225
2015-04-12	0	1190	0	155	0	1225
2015-04-19	0	1190	0	155	0	1225
2015-04-26	0	1190	0	155	0	1225
2015-05-03	0	1190	0	155	0	1225
2015-05-10	0	1190	0	155	0	1225
2015-05-17	0	1190	0	155	0	1225
2015-05-24	0	1190	0	155	0	1225
2015-05-31	0	1190	0	155	0	1225
2015-06-07	0	1190	0	155	0	1225
2015-06-14	0	1190	0	155	0	1225
2015-06-21	0	1190	0	155	0	1225
2015-06-28	0	1190	0	155	0	1225
2015-07-05	0	1190	0	155	0	1225
2015-07-12	0	1190	0	155	0	1225
2015-07-19	0	1190	0	155	0	1225
2015-07-26	0	1190	0	155	0	1225
2015-08-02	0	1190	0	155	0	1225
2015-08-09	0	1190	0	155	0	1225
2015-08-16	0	1190	0	155	0	1225
2015-08-23	0	1190	0	155	0	1225
2015-08-30	0	1190	0	155	0	1225
2015-09-06	0	1190	0	155	0	1225
2015-09-13	0	1190	0	155	0	1225
2015-09-20	0	1190	0	155	0	1225
2015-09-27	0	1190	0	155	0	1225
2015-10-04	0	1190	0	155	0	1225
2015-10-11	0	1190	0	155	0	1225
2015-10-18	0	1190	0	155	0	1225
2015-10-25	0	1190	0	155	0	1225
2015-11-01	0	1190	0	155	0	1225
2015-11-08	0	1190	0	155	0	1225
2015-11-15	0	1190	0	155	0	1225
2015-11-22	0	1190	0	155	0	1225
2015-11-29	0	1190	0	155	0	1225
2015-12-06	0	1190	0	155	0	1225
2015-12-13	0	1190	0	155	0	1225
2015-12-20	0	1190	0	155	0	1225
2015-12-27	0	1190	0	155	0	1225
2016-01-03	0	1190	0	155	0	1225
2016-01-10	0	1190	0	155	0	1225
2016-01-17	0	1190	0	155	0	1225
2016-01-24	0	1190	0	155	0	1225
2016-01-31	0	1190	0	155	0	1225
2016-02-07	0	1190	0	155	0	1225
2016-02-14	0	1190	0	155	0	1225
2016-02-21	0	1190	0	155	0	1225
2016-02-28	0	1190	0	155	0	1225
2016-03-06	0	1190	0	155	0	1225
2016-03-13	0	1190	0	155	0	1225
2016-03-20	0	1190	0	155	0	1225
2016-03-27	0	1190	0	155	0	1225
2016-04-03	0	1190	0	155	0	1225
2016-04-10	0	1190	0	155	0	1225
2016-04-17	0	1190	0	155	0	1225
2016-04-24	0	1190	0	155	0	1225
2016-05-01	0	1190	0	155	0	1225
2016-05-08	0	1190	0	155	0	1225
