KAMBIA.patient	KAMBIA.patientSum	KAMBIA.situation	KAMBIA.situationSum	KAMBIA.combined	KAMBIA.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	0	0	0	0	0	0
2014-08-03	0	0	0	0	0	0
2014-08-10	0	0	0	0	0	0
2014-08-17	0	0	0	0	0	0
2014-08-24	0	0	0	0	0	0
2014-08-31	0	0	0	0	0	0
2014-09-07	0	0	0	0	0	0
2014-09-14	2	2	0	0	2	2
2014-09-21	7	9	7	7	7	9
2014-09-28	8	17	4	11	8	17
2014-10-05	3	20	7	18	7	24
2014-10-12	3	23	4	22	4	28
2014-10-19	5	28	2	24	5	33
2014-10-26	4	32	4	28	4	37
2014-11-02	15	47	16	44	16	53
2014-11-09	8	55	6	50	8	61
2014-11-16	4	59	5	55	5	66
2014-11-23	10	69	5	60	10	76
2014-11-30	10	79	14	74	14	90
2014-12-07	13	92	10	84	13	103
2014-12-14	11	103	11	95	11	114
2014-12-21	8	111	7	102	8	122
2014-12-28	11	122	5	107	11	133
2015-01-04	9	131	6	113	9	142
2015-01-11	21	152	17	130	21	163
2015-01-18	8	160	8	138	8	171
2015-01-25	12	172	10	148	12	183
2015-02-01	7	179	1	149	7	190
2015-02-08	9	188	11	160	11	201
2015-02-15	8	196	7	167	8	209
2015-02-22	10	206	8	175	10	219
2015-03-01	2	208	6	181	6	225
2015-03-08	10	218	7	188	10	235
2015-03-15	3	221	4	192	4	239
2015-03-22	8	229	8	200	8	247
2015-03-29	5	234	5	205	5	252
2015-04-05	2	236	2	207	2	254
2015-04-12	5	241	4	211	5	259
2015-04-19	5	246	4	215	5	264
2015-04-26	3	249	8	223	8	272
2015-05-03	5	254	5	228	5	277
2015-05-10	0	254	0	228	0	277
2015-05-17	1	255	1	229	1	278
2015-05-24	0	255	0	229	0	278
2015-05-31	1	256	1	230	1	279
2015-06-07	5	261	5	235	5	284
2015-06-14	7	268	6	241	7	291
2015-06-21	2	270	2	243	2	293
2015-06-28	3	273	2	245	3	296
2015-07-05	3	276	4	249	4	300
2015-07-12	1	277	3	252	3	303
2015-07-19	0	277	0	252	0	303
2015-07-26	0	277	0	252	0	303
2015-08-02	0	277	0	252	0	303
2015-08-09	0	277	0	252	0	303
2015-08-16	0	277	0	252	0	303
2015-08-23	0	277	0	252	0	303
2015-08-30	0	277	1	253	1	304
2015-09-06	0	277	1	254	1	305
2015-09-13	0	277	4	258	4	309
2015-09-20	0	277	0	258	0	309
2015-09-27	0	277	0	258	0	309
2015-10-04	0	277	0	258	0	309
2015-10-11	0	277	0	258	0	309
2015-10-18	0	277	0	258	0	309
2015-10-25	0	277	0	258	0	309
2015-11-01	0	277	0	258	0	309
2015-11-08	0	277	0	258	0	309
2015-11-15	0	277	0	258	0	309
2015-11-22	0	277	0	258	0	309
2015-11-29	0	277	0	258	0	309
2015-12-06	0	277	0	258	0	309
2015-12-13	0	277	0	258	0	309
2015-12-20	0	277	0	258	0	309
2015-12-27	0	277	0	258	0	309
2016-01-03	0	277	0	258	0	309
2016-01-10	0	277	0	258	0	309
2016-01-17	0	277	0	258	0	309
2016-01-24	0	277	0	258	0	309
2016-01-31	0	277	0	258	0	309
2016-02-07	0	277	0	258	0	309
2016-02-14	0	277	0	258	0	309
2016-02-21	0	277	0	258	0	309
2016-02-28	0	277	0	258	0	309
2016-03-06	0	277	0	258	0	309
2016-03-13	0	277	0	258	0	309
2016-03-20	0	277	0	258	0	309
2016-03-27	0	277	0	258	0	309
2016-04-03	0	277	0	258	0	309
2016-04-10	0	277	0	258	0	309
2016-04-17	0	277	0	258	0	309
2016-04-24	0	277	0	258	0	309
2016-05-01	0	277	0	258	0	309
2016-05-08	0	277	0	258	0	309
