KENEMA.patient	KENEMA.patientSum	KENEMA.situation	KENEMA.situationSum	KENEMA.combined	KENEMA.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	1	1	0	0	1	1
2014-06-15	1	2	0	0	1	2
2014-06-22	19	21	0	0	19	21
2014-06-29	17	38	0	0	17	38
2014-07-06	32	70	0	0	32	70
2014-07-13	23	93	0	0	23	93
2014-07-20	31	124	0	0	31	124
2014-07-27	46	170	0	0	46	170
2014-08-03	42	212	0	0	42	212
2014-08-10	45	257	0	0	45	257
2014-08-17	51	308	0	0	51	308
2014-08-24	46	354	0	0	46	354
2014-08-31	24	378	0	0	24	378
2014-09-07	29	407	0	0	29	407
2014-09-14	25	432	0	0	25	432
2014-09-21	6	438	8	8	8	440
2014-09-28	10	448	10	18	10	450
2014-10-05	7	455	5	23	7	457
2014-10-12	22	477	13	36	22	479
2014-10-19	18	495	26	62	26	505
2014-10-26	8	503	13	75	13	518
2014-11-02	13	516	10	85	13	531
2014-11-09	1	517	0	85	1	532
2014-11-16	0	517	0	85	0	532
2014-11-23	2	519	1	86	2	534
2014-11-30	1	520	0	86	1	535
2014-12-07	0	520	0	86	0	535
2014-12-14	4	524	1	87	4	539
2014-12-21	2	526	1	88	2	541
2014-12-28	0	526	0	88	0	541
2015-01-04	0	526	1	89	1	542
2015-01-11	0	526	0	89	0	542
2015-01-18	1	527	1	90	1	543
2015-01-25	0	527	0	90	0	543
2015-02-01	4	531	4	94	4	547
2015-02-08	0	531	0	94	0	547
2015-02-15	0	531	0	94	0	547
2015-02-22	1	532	1	95	1	548
2015-03-01	0	532	0	95	0	548
2015-03-08	0	532	0	95	0	548
2015-03-15	0	532	0	95	0	548
2015-03-22	0	532	0	95	0	548
2015-03-29	0	532	0	95	0	548
2015-04-05	0	532	0	95	0	548
2015-04-12	0	532	0	95	0	548
2015-04-19	0	532	0	95	0	548
2015-04-26	0	532	0	95	0	548
2015-05-03	0	532	0	95	0	548
2015-05-10	0	532	0	95	0	548
2015-05-17	0	532	0	95	0	548
2015-05-24	0	532	0	95	0	548
2015-05-31	0	532	0	95	0	548
2015-06-07	0	532	0	95	0	548
2015-06-14	0	532	0	95	0	548
2015-06-21	0	532	0	95	0	548
2015-06-28	0	532	0	95	0	548
2015-07-05	0	532	0	95	0	548
2015-07-12	0	532	0	95	0	548
2015-07-19	0	532	0	95	0	548
2015-07-26	0	532	0	95	0	548
2015-08-02	0	532	0	95	0	548
2015-08-09	0	532	0	95	0	548
2015-08-16	0	532	0	95	0	548
2015-08-23	0	532	0	95	0	548
2015-08-30	0	532	0	95	0	548
2015-09-06	0	532	0	95	0	548
2015-09-13	0	532	0	95	0	548
2015-09-20	0	532	0	95	0	548
2015-09-27	0	532	0	95	0	548
2015-10-04	0	532	0	95	0	548
2015-10-11	0	532	0	95	0	548
2015-10-18	0	532	0	95	0	548
2015-10-25	0	532	0	95	0	548
2015-11-01	0	532	0	95	0	548
2015-11-08	0	532	0	95	0	548
2015-11-15	0	532	0	95	0	548
2015-11-22	0	532	0	95	0	548
2015-11-29	0	532	0	95	0	548
2015-12-06	0	532	0	95	0	548
2015-12-13	0	532	0	95	0	548
2015-12-20	0	532	0	95	0	548
2015-12-27	0	532	0	95	0	548
2016-01-03	0	532	0	95	0	548
2016-01-10	0	532	0	95	0	548
2016-01-17	0	532	0	95	0	548
2016-01-24	0	532	0	95	0	548
2016-01-31	0	532	0	95	0	548
2016-02-07	0	532	0	95	0	548
2016-02-14	0	532	0	95	0	548
2016-02-21	0	532	0	95	0	548
2016-02-28	0	532	0	95	0	548
2016-03-06	0	532	0	95	0	548
2016-03-13	0	532	0	95	0	548
2016-03-20	0	532	0	95	0	548
2016-03-27	0	532	0	95	0	548
2016-04-03	0	532	0	95	0	548
2016-04-10	0	532	0	95	0	548
2016-04-17	0	532	0	95	0	548
2016-04-24	0	532	0	95	0	548
2016-05-01	0	532	0	95	0	548
2016-05-08	0	532	0	95	0	548
