KOINADUGU.patient	KOINADUGU.patientSum	KOINADUGU.situation	KOINADUGU.situationSum	KOINADUGU.combined	KOINADUGU.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	0	0	0	0	0	0
2014-08-03	0	0	0	0	0	0
2014-08-10	1	1	0	0	1	1
2014-08-17	0	1	0	0	0	1
2014-08-24	0	1	0	0	0	1
2014-08-31	0	1	0	0	0	1
2014-09-07	0	1	0	0	0	1
2014-09-14	0	1	0	0	0	1
2014-09-21	0	1	0	0	0	1
2014-09-28	0	1	0	0	0	1
2014-10-05	1	2	0	0	1	2
2014-10-12	5	7	0	0	5	7
2014-10-19	8	15	2	2	8	15
2014-10-26	22	37	11	13	22	37
2014-11-02	31	68	10	23	31	68
2014-11-09	35	103	25	48	35	103
2014-11-16	18	121	25	73	25	128
2014-11-23	2	123	5	78	5	133
2014-11-30	9	132	6	84	9	142
2014-12-07	0	132	2	86	2	144
2014-12-14	4	136	3	89	4	148
2014-12-21	1	137	1	90	1	149
2014-12-28	9	146	7	97	9	158
2015-01-04	2	148	5	102	5	163
2015-01-11	0	148	1	103	1	164
2015-01-18	0	148	0	103	0	164
2015-01-25	0	148	0	103	0	164
2015-02-01	1	149	1	104	1	165
2015-02-08	0	149	0	104	0	165
2015-02-15	2	151	1	105	2	167
2015-02-22	0	151	0	105	0	167
2015-03-01	1	152	1	106	1	168
2015-03-08	1	153	0	106	1	169
2015-03-15	1	154	2	108	2	171
2015-03-22	0	154	0	108	0	171
2015-03-29	0	154	0	108	0	171
2015-04-05	0	154	0	108	0	171
2015-04-12	0	154	0	108	0	171
2015-04-19	1	155	1	109	1	172
2015-04-26	0	155	0	109	0	172
2015-05-03	0	155	0	109	0	172
2015-05-10	0	155	0	109	0	172
2015-05-17	0	155	0	109	0	172
2015-05-24	0	155	0	109	0	172
2015-05-31	0	155	0	109	0	172
2015-06-07	0	155	0	109	0	172
2015-06-14	0	155	0	109	0	172
2015-06-21	0	155	0	109	0	172
2015-06-28	0	155	0	109	0	172
2015-07-05	0	155	0	109	0	172
2015-07-12	0	155	0	109	0	172
2015-07-19	0	155	0	109	0	172
2015-07-26	0	155	0	109	0	172
2015-08-02	0	155	0	109	0	172
2015-08-09	0	155	0	109	0	172
2015-08-16	0	155	0	109	0	172
2015-08-23	0	155	0	109	0	172
2015-08-30	0	155	0	109	0	172
2015-09-06	0	155	0	109	0	172
2015-09-13	0	155	0	109	0	172
2015-09-20	0	155	0	109	0	172
2015-09-27	0	155	0	109	0	172
2015-10-04	0	155	0	109	0	172
2015-10-11	0	155	0	109	0	172
2015-10-18	0	155	0	109	0	172
2015-10-25	0	155	0	109	0	172
2015-11-01	0	155	0	109	0	172
2015-11-08	0	155	0	109	0	172
2015-11-15	0	155	0	109	0	172
2015-11-22	0	155	0	109	0	172
2015-11-29	0	155	0	109	0	172
2015-12-06	0	155	0	109	0	172
2015-12-13	0	155	0	109	0	172
2015-12-20	0	155	0	109	0	172
2015-12-27	0	155	0	109	0	172
2016-01-03	0	155	0	109	0	172
2016-01-10	0	155	0	109	0	172
2016-01-17	0	155	0	109	0	172
2016-01-24	0	155	0	109	0	172
2016-01-31	0	155	0	109	0	172
2016-02-07	0	155	0	109	0	172
2016-02-14	0	155	0	109	0	172
2016-02-21	0	155	0	109	0	172
2016-02-28	0	155	0	109	0	172
2016-03-06	0	155	0	109	0	172
2016-03-13	0	155	0	109	0	172
2016-03-20	0	155	0	109	0	172
2016-03-27	0	155	0	109	0	172
2016-04-03	0	155	0	109	0	172
2016-04-10	0	155	0	109	0	172
2016-04-17	0	155	0	109	0	172
2016-04-24	0	155	0	109	0	172
2016-05-01	0	155	0	109	0	172
2016-05-08	0	155	0	109	0	172
