KONO.patient	KONO.patientSum	KONO.situation	KONO.situationSum	KONO.combined	KONO.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	2	2	0	0	2	2
2014-07-13	0	2	0	0	0	2
2014-07-20	0	2	0	0	0	2
2014-07-27	0	2	0	0	0	2
2014-08-03	1	3	0	0	1	3
2014-08-10	0	3	0	0	0	3
2014-08-17	0	3	0	0	0	3
2014-08-24	0	3	0	0	0	3
2014-08-31	3	6	0	0	3	6
2014-09-07	9	15	0	0	9	15
2014-09-14	8	23	0	0	8	23
2014-09-21	3	26	3	3	3	26
2014-09-28	6	32	0	3	6	32
2014-10-05	10	42	7	10	10	42
2014-10-12	6	48	6	16	6	48
2014-10-19	3	51	3	19	3	51
2014-10-26	6	57	4	23	6	57
2014-11-02	3	60	1	24	3	60
2014-11-09	12	72	7	31	12	72
2014-11-16	29	101	12	43	29	101
2014-11-23	27	128	16	59	27	128
2014-11-30	34	162	15	74	34	162
2014-12-07	19	181	24	98	24	186
2014-12-14	45	226	12	110	45	231
2014-12-21	21	247	13	123	21	252
2014-12-28	93	340	39	162	93	345
2015-01-04	47	387	32	194	47	392
2015-01-11	36	423	14	208	36	428
2015-01-18	9	432	13	221	13	441
2015-01-25	8	440	1	222	8	449
2015-02-01	5	445	5	227	5	454
2015-02-08	2	447	5	232	5	459
2015-02-15	0	447	0	232	0	459
2015-02-22	1	448	1	233	1	460
2015-03-01	1	449	1	234	1	461
2015-03-08	1	450	0	234	1	462
2015-03-15	0	450	0	234	0	462
2015-03-22	0	450	0	234	0	462
2015-03-29	0	450	0	234	0	462
2015-04-05	0	450	0	234	0	462
2015-04-12	0	450	0	234	0	462
2015-04-19	0	450	0	234	0	462
2015-04-26	0	450	0	234	0	462
2015-05-03	0	450	0	234	0	462
2015-05-10	0	450	0	234	0	462
2015-05-17	0	450	0	234	0	462
2015-05-24	0	450	0	234	0	462
2015-05-31	0	450	0	234	0	462
2015-06-07	0	450	0	234	0	462
2015-06-14	0	450	0	234	0	462
2015-06-21	0	450	0	234	0	462
2015-06-28	0	450	0	234	0	462
2015-07-05	0	450	0	234	0	462
2015-07-12	0	450	0	234	0	462
2015-07-19	0	450	0	234	0	462
2015-07-26	0	450	0	234	0	462
2015-08-02	0	450	0	234	0	462
2015-08-09	0	450	0	234	0	462
2015-08-16	0	450	0	234	0	462
2015-08-23	0	450	0	234	0	462
2015-08-30	0	450	0	234	0	462
2015-09-06	0	450	0	234	0	462
2015-09-13	0	450	0	234	0	462
2015-09-20	0	450	0	234	0	462
2015-09-27	0	450	0	234	0	462
2015-10-04	0	450	0	234	0	462
2015-10-11	0	450	0	234	0	462
2015-10-18	0	450	0	234	0	462
2015-10-25	0	450	0	234	0	462
2015-11-01	0	450	0	234	0	462
2015-11-08	0	450	0	234	0	462
2015-11-15	0	450	0	234	0	462
2015-11-22	0	450	0	234	0	462
2015-11-29	0	450	0	234	0	462
2015-12-06	0	450	0	234	0	462
2015-12-13	0	450	0	234	0	462
2015-12-20	0	450	0	234	0	462
2015-12-27	0	450	0	234	0	462
2016-01-03	0	450	0	234	0	462
2016-01-10	0	450	0	234	0	462
2016-01-17	0	450	0	234	0	462
2016-01-24	0	450	0	234	0	462
2016-01-31	0	450	0	234	0	462
2016-02-07	0	450	0	234	0	462
2016-02-14	0	450	0	234	0	462
2016-02-21	0	450	0	234	0	462
2016-02-28	0	450	0	234	0	462
2016-03-06	0	450	0	234	0	462
2016-03-13	0	450	0	234	0	462
2016-03-20	0	450	0	234	0	462
2016-03-27	0	450	0	234	0	462
2016-04-03	0	450	0	234	0	462
2016-04-10	0	450	0	234	0	462
2016-04-17	0	450	0	234	0	462
2016-04-24	0	450	0	234	0	462
2016-05-01	0	450	0	234	0	462
2016-05-08	0	450	0	234	0	462
