patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	3	3	0	0	3	3
2014-06-15	2	5	0	0	2	5
2014-06-22	2	7	0	0	2	7
2014-06-29	2	9	0	0	2	9
2014-07-06	2	11	0	0	2	11
2014-07-13	4	15	0	0	4	15
2014-07-20	2	17	0	0	2	17
2014-07-27	12	29	0	0	12	29
2014-08-03	8	37	0	0	8	37
2014-08-10	25	62	0	0	25	62
2014-08-17	38	100	0	0	38	100
2014-08-24	85	185	0	0	85	185
2014-08-31	97	282	0	0	97	282
2014-09-07	124	406	0	0	124	406
2014-09-14	170	576	0	0	170	576
2014-09-21	295	871	192	192	304	880
2014-09-28	315	1186	301	493	336	1216
2014-10-05	311	1497	266	759	345	1561
2014-10-12	314	1811	322	1081	362	1923
2014-10-19	380	2191	313	1394	400	2323
2014-10-26	416	2607	353	1747	417	2740
2014-11-02	461	3068	400	2147	485	3225
2014-11-09	435	3503	358	2505	443	3668
2014-11-16	385	3888	476	2981	479	4147
2014-11-23	372	4260	340	3321	379	4526
2014-11-30	527	4787	494	3815	544	5070
2014-12-07	322	5109	348	4163	366	5436
2014-12-14	305	5414	284	4447	320	5756
2014-12-21	319	5733	293	4740	349	6105
2014-12-28	326	6059	287	5027	344	6449
2015-01-04	272	6331	201	5228	275	6724
2015-01-11	238	6569	162	5390	244	6968
2015-01-18	104	6673	97	5487	109	7077
2015-01-25	95	6768	64	5551	96	7173
2015-02-01	73	6841	68	5619	80	7253
2015-02-08	84	6925	69	5688	87	7340
2015-02-15	100	7025	96	5784	112	7452
2015-02-22	78	7103	60	5844	79	7531
2015-03-01	66	7169	80	5924	84	7615
2015-03-08	89	7258	58	5982	89	7704
2015-03-15	34	7292	55	6037	55	7759
2015-03-22	35	7327	32	6069	42	7801
2015-03-29	21	7348	25	6094	28	7829
2015-04-05	10	7358	9	6103	11	7840
2015-04-12	15	7373	9	6112	15	7855
2015-04-19	17	7390	12	6124	18	7873
2015-04-26	6	7396	11	6135	12	7885
2015-05-03	7	7403	9	6144	9	7894
2015-05-10	3	7406	2	6146	3	7897
2015-05-17	8	7414	8	6154	8	7905
2015-05-24	7	7421	3	6157	7	7912
2015-05-31	14	7435	12	6169	15	7927
2015-06-07	15	7450	15	6184	15	7942
2015-06-14	14	7464	14	6198	15	7957
2015-06-21	8	7472	8	6206	9	7966
2015-06-28	9	7481	8	6214	10	7976
2015-07-05	9	7490	9	6223	10	7986
2015-07-12	6	7496	14	6237	15	8001
2015-07-19	7	7503	3	6240	7	8008
2015-07-26	3	7506	3	6243	3	8011
2015-08-02	2	7508	2	6245	2	8013
2015-08-09	1	7509	1	6246	1	8014
2015-08-16	0	7509	0	6246	0	8014
2015-08-23	2	7511	0	6246	2	8016
2015-08-30	0	7511	1	6247	1	8017
2015-09-06	0	7511	1	6248	1	8018
2015-09-13	0	7511	5	6253	5	8023
2015-09-20	0	7511	0	6253	0	8023
2015-09-27	0	7511	0	6253	0	8023
2015-10-04	0	7511	0	6253	0	8023
2015-10-11	0	7511	0	6253	0	8023
2015-10-18	0	7511	0	6253	0	8023
2015-10-25	0	7511	0	6253	0	8023
2015-11-01	0	7511	0	6253	0	8023
2015-11-08	0	7511	0	6253	0	8023
2015-11-15	0	7511	0	6253	0	8023
2015-11-22	0	7511	0	6253	0	8023
2015-11-29	0	7511	0	6253	0	8023
2015-12-06	0	7511	0	6253	0	8023
2015-12-13	0	7511	0	6253	0	8023
2015-12-20	0	7511	0	6253	0	8023
2015-12-27	0	7511	0	6253	0	8023
2016-01-03	0	7511	0	6253	0	8023
2016-01-10	0	7511	0	6253	0	8023
2016-01-17	0	7511	1	6254	1	8024
2016-01-24	0	7511	1	6255	1	8025
2016-01-31	0	7511	0	6255	0	8025
2016-02-07	0	7511	0	6255	0	8025
2016-02-14	0	7511	0	6255	0	8025
2016-02-21	0	7511	0	6255	0	8025
2016-02-28	0	7511	0	6255	0	8025
2016-03-06	0	7511	0	6255	0	8025
2016-03-13	0	7511	0	6255	0	8025
2016-03-20	0	7511	0	6255	0	8025
2016-03-27	0	7511	0	6255	0	8025
2016-04-03	0	7511	0	6255	0	8025
2016-04-10	0	7511	0	6255	0	8025
2016-04-17	0	7511	0	6255	0	8025
2016-04-24	0	7511	0	6255	0	8025
2016-05-01	0	7511	0	6255	0	8025
2016-05-08	0	7511	0	6255	0	8025
