patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	3	3	0	0	3	3
2014-06-15	1	4	0	0	1	4
2014-06-22	2	6	0	0	2	6
2014-06-29	2	8	0	0	2	8
2014-07-06	1	9	0	0	1	9
2014-07-13	4	13	0	0	4	13
2014-07-20	2	15	0	0	2	15
2014-07-27	7	22	0	0	7	22
2014-08-03	7	29	0	0	7	29
2014-08-10	21	50	0	0	21	50
2014-08-17	37	87	0	0	37	87
2014-08-24	71	158	0	0	71	158
2014-08-31	69	227	0	0	69	227
2014-09-07	86	313	0	0	86	313
2014-09-14	117	430	0	0	117	430
2014-09-21	189	619	126	126	189	619
2014-09-28	206	825	200	326	222	841
2014-10-05	159	984	181	507	189	1030
2014-10-12	227	1211	197	704	232	1262
2014-10-19	263	1474	216	920	273	1535
2014-10-26	282	1756	245	1165	282	1817
2014-11-02	318	2074	254	1419	318	2135
2014-11-09	270	2344	202	1621	270	2405
2014-11-16	290	2634	365	1986	365	2770
2014-11-23	269	2903	245	2231	269	3039
2014-11-30	407	3310	368	2599	413	3452
2014-12-07	259	3569	266	2865	281	3733
2014-12-14	255	3824	233	3098	266	3999
2014-12-21	267	4091	238	3336	285	4284
2014-12-28	270	4361	240	3576	284	4568
2015-01-04	246	4607	184	3760	246	4814
2015-01-11	189	4796	131	3891	194	5008
2015-01-18	87	4883	78	3969	90	5098
2015-01-25	71	4954	42	4011	71	5169
2015-02-01	59	5013	65	4076	65	5234
2015-02-08	71	5084	55	4131	71	5305
2015-02-15	84	5168	84	4215	95	5400
2015-02-22	46	5214	32	4247	47	5447
2015-03-01	51	5265	50	4297	54	5501
2015-03-08	64	5329	45	4342	64	5565
2015-03-15	26	5355	43	4385	43	5608
2015-03-22	26	5381	23	4408	33	5641
2015-03-29	15	5396	19	4427	22	5663
2015-04-05	8	5404	7	4434	9	5672
2015-04-12	10	5414	5	4439	10	5682
2015-04-19	11	5425	7	4446	12	5694
2015-04-26	3	5428	3	4449	4	5698
2015-05-03	2	5430	4	4453	4	5702
2015-05-10	3	5433	2	4455	3	5705
2015-05-17	7	5440	7	4462	7	5712
2015-05-24	7	5447	3	4465	7	5719
2015-05-31	13	5460	11	4476	14	5733
2015-06-07	10	5470	10	4486	10	5743
2015-06-14	7	5477	8	4494	8	5751
2015-06-21	6	5483	6	4500	7	5758
2015-06-28	6	5489	6	4506	7	5765
2015-07-05	6	5495	5	4511	6	5771
2015-07-12	5	5500	11	4522	12	5783
2015-07-19	7	5507	3	4525	7	5790
2015-07-26	2	5509	2	4527	2	5792
2015-08-02	0	5509	0	4527	0	5792
2015-08-09	1	5510	1	4528	1	5793
2015-08-16	0	5510	0	4528	0	5793
2015-08-23	0	5510	0	4528	0	5793
2015-08-30	0	5510	0	4528	0	5793
2015-09-06	0	5510	0	4528	0	5793
2015-09-13	0	5510	0	4528	0	5793
2015-09-20	0	5510	0	4528	0	5793
2015-09-27	0	5510	0	4528	0	5793
2015-10-04	0	5510	0	4528	0	5793
2015-10-11	0	5510	0	4528	0	5793
2015-10-18	0	5510	0	4528	0	5793
2015-10-25	0	5510	0	4528	0	5793
2015-11-01	0	5510	0	4528	0	5793
2015-11-08	0	5510	0	4528	0	5793
2015-11-15	0	5510	0	4528	0	5793
2015-11-22	0	5510	0	4528	0	5793
2015-11-29	0	5510	0	4528	0	5793
2015-12-06	0	5510	0	4528	0	5793
2015-12-13	0	5510	0	4528	0	5793
2015-12-20	0	5510	0	4528	0	5793
2015-12-27	0	5510	0	4528	0	5793
2016-01-03	0	5510	0	4528	0	5793
2016-01-10	0	5510	0	4528	0	5793
2016-01-17	0	5510	0	4528	0	5793
2016-01-24	0	5510	0	4528	0	5793
2016-01-31	0	5510	0	4528	0	5793
2016-02-07	0	5510	0	4528	0	5793
2016-02-14	0	5510	0	4528	0	5793
2016-02-21	0	5510	0	4528	0	5793
2016-02-28	0	5510	0	4528	0	5793
2016-03-06	0	5510	0	4528	0	5793
2016-03-13	0	5510	0	4528	0	5793
2016-03-20	0	5510	0	4528	0	5793
2016-03-27	0	5510	0	4528	0	5793
2016-04-03	0	5510	0	4528	0	5793
2016-04-10	0	5510	0	4528	0	5793
2016-04-17	0	5510	0	4528	0	5793
2016-04-24	0	5510	0	4528	0	5793
2016-05-01	0	5510	0	4528	0	5793
2016-05-08	0	5510	0	4528	0	5793
