PORT.LOKO.patient	PORT.LOKO.patientSum	PORT.LOKO.situation	PORT.LOKO.situationSum	PORT.LOKO.combined	PORT.LOKO.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	3	3	0	0	3	3
2014-06-15	1	4	0	0	1	4
2014-06-22	1	5	0	0	1	5
2014-06-29	0	5	0	0	0	5
2014-07-06	0	5	0	0	0	5
2014-07-13	2	7	0	0	2	7
2014-07-20	0	7	0	0	0	7
2014-07-27	1	8	0	0	1	8
2014-08-03	6	14	0	0	6	14
2014-08-10	13	27	0	0	13	27
2014-08-17	18	45	0	0	18	45
2014-08-24	32	77	0	0	32	77
2014-08-31	27	104	0	0	27	104
2014-09-07	32	136	0	0	32	136
2014-09-14	53	189	0	0	53	189
2014-09-21	69	258	44	44	69	258
2014-09-28	105	363	83	127	105	363
2014-10-05	43	406	53	180	53	416
2014-10-12	81	487	55	235	81	497
2014-10-19	62	549	46	281	62	559
2014-10-26	61	610	53	334	61	620
2014-11-02	67	677	64	398	67	687
2014-11-09	83	760	56	454	83	770
2014-11-16	89	849	95	549	95	865
2014-11-23	78	927	72	621	78	943
2014-11-30	88	1015	94	715	94	1037
2014-12-07	54	1069	76	791	76	1113
2014-12-14	78	1147	56	847	78	1191
2014-12-21	77	1224	92	939	92	1283
2014-12-28	55	1279	69	1008	69	1352
2015-01-04	55	1334	41	1049	55	1407
2015-01-11	36	1370	41	1090	41	1448
2015-01-18	33	1403	31	1121	33	1481
2015-01-25	13	1416	6	1127	13	1494
2015-02-01	31	1447	36	1163	36	1530
2015-02-08	35	1482	28	1191	35	1565
2015-02-15	11	1493	13	1204	13	1578
2015-02-22	20	1513	15	1219	20	1598
2015-03-01	17	1530	16	1235	17	1615
2015-03-08	12	1542	12	1247	12	1627
2015-03-15	11	1553	11	1258	11	1638
2015-03-22	12	1565	6	1264	12	1650
2015-03-29	2	1567	6	1270	6	1656
2015-04-05	1	1568	1	1271	1	1657
2015-04-12	2	1570	1	1272	2	1659
2015-04-19	0	1570	1	1273	1	1660
2015-04-26	0	1570	0	1273	0	1660
2015-05-03	0	1570	0	1273	0	1660
2015-05-10	0	1570	0	1273	0	1660
2015-05-17	3	1573	3	1276	3	1663
2015-05-24	1	1574	1	1277	1	1664
2015-05-31	9	1583	8	1285	9	1673
2015-06-07	10	1593	10	1295	10	1683
2015-06-14	7	1600	8	1303	8	1691
2015-06-21	3	1603	4	1307	4	1695
2015-06-28	1	1604	2	1309	2	1697
2015-07-05	2	1606	2	1311	2	1699
2015-07-12	1	1607	1	1312	1	1700
2015-07-19	2	1609	1	1313	2	1702
2015-07-26	0	1609	0	1313	0	1702
2015-08-02	0	1609	0	1313	0	1702
2015-08-09	0	1609	0	1313	0	1702
2015-08-16	0	1609	0	1313	0	1702
2015-08-23	0	1609	0	1313	0	1702
2015-08-30	0	1609	0	1313	0	1702
2015-09-06	0	1609	0	1313	0	1702
2015-09-13	0	1609	0	1313	0	1702
2015-09-20	0	1609	0	1313	0	1702
2015-09-27	0	1609	0	1313	0	1702
2015-10-04	0	1609	0	1313	0	1702
2015-10-11	0	1609	0	1313	0	1702
2015-10-18	0	1609	0	1313	0	1702
2015-10-25	0	1609	0	1313	0	1702
2015-11-01	0	1609	0	1313	0	1702
2015-11-08	0	1609	0	1313	0	1702
2015-11-15	0	1609	0	1313	0	1702
2015-11-22	0	1609	0	1313	0	1702
2015-11-29	0	1609	0	1313	0	1702
2015-12-06	0	1609	0	1313	0	1702
2015-12-13	0	1609	0	1313	0	1702
2015-12-20	0	1609	0	1313	0	1702
2015-12-27	0	1609	0	1313	0	1702
2016-01-03	0	1609	0	1313	0	1702
2016-01-10	0	1609	0	1313	0	1702
2016-01-17	0	1609	0	1313	0	1702
2016-01-24	0	1609	0	1313	0	1702
2016-01-31	0	1609	0	1313	0	1702
2016-02-07	0	1609	0	1313	0	1702
2016-02-14	0	1609	0	1313	0	1702
2016-02-21	0	1609	0	1313	0	1702
2016-02-28	0	1609	0	1313	0	1702
2016-03-06	0	1609	0	1313	0	1702
2016-03-13	0	1609	0	1313	0	1702
2016-03-20	0	1609	0	1313	0	1702
2016-03-27	0	1609	0	1313	0	1702
2016-04-03	0	1609	0	1313	0	1702
2016-04-10	0	1609	0	1313	0	1702
2016-04-17	0	1609	0	1313	0	1702
2016-04-24	0	1609	0	1313	0	1702
2016-05-01	0	1609	0	1313	0	1702
2016-05-08	0	1609	0	1313	0	1702
