patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	3	3	0	0	3	3
2014-06-01	17	20	0	0	17	20
2014-06-08	29	49	0	0	29	49
2014-06-15	63	112	0	0	63	112
2014-06-22	56	168	0	0	56	168
2014-06-29	47	215	0	0	47	215
2014-07-06	85	300	0	0	85	300
2014-07-13	102	402	0	0	102	402
2014-07-20	73	475	0	0	73	475
2014-07-27	86	561	0	0	86	561
2014-08-03	136	697	0	0	136	697
2014-08-10	110	807	0	0	110	807
2014-08-17	88	895	0	0	88	895
2014-08-24	87	982	0	0	87	982
2014-08-31	89	1071	0	0	89	1071
2014-09-07	90	1161	0	0	90	1161
2014-09-14	62	1223	0	0	62	1223
2014-09-21	92	1315	62	62	108	1331
2014-09-28	78	1393	49	111	78	1409
2014-10-05	54	1447	49	160	58	1467
2014-10-12	54	1501	49	209	59	1526
2014-10-19	76	1577	73	282	88	1614
2014-10-26	43	1620	46	328	51	1665
2014-11-02	41	1661	35	363	43	1708
2014-11-09	76	1737	63	426	76	1784
2014-11-16	64	1801	57	483	78	1862
2014-11-23	59	1860	45	528	64	1926
2014-11-30	47	1907	43	571	63	1989
2014-12-07	52	1959	49	620	58	2047
2014-12-14	83	2042	43	663	84	2131
2014-12-21	31	2073	22	685	32	2163
2014-12-28	99	2172	50	735	105	2268
2015-01-04	64	2236	47	782	65	2333
2015-01-11	46	2282	22	804	46	2379
2015-01-18	17	2299	20	824	21	2400
2015-01-25	9	2308	1	825	9	2409
2015-02-01	11	2319	12	837	12	2421
2015-02-08	4	2323	7	844	7	2428
2015-02-15	0	2323	0	844	0	2428
2015-02-22	3	2326	3	847	3	2431
2015-03-01	1	2327	1	848	1	2432
2015-03-08	1	2328	0	848	1	2433
2015-03-15	0	2328	0	848	0	2433
2015-03-22	1	2329	1	849	1	2434
2015-03-29	0	2329	0	849	0	2434
2015-04-05	0	2329	0	849	0	2434
2015-04-12	0	2329	0	849	0	2434
2015-04-19	0	2329	0	849	0	2434
2015-04-26	0	2329	0	849	0	2434
2015-05-03	0	2329	0	849	0	2434
2015-05-10	0	2329	0	849	0	2434
2015-05-17	0	2329	0	849	0	2434
2015-05-24	0	2329	0	849	0	2434
2015-05-31	0	2329	0	849	0	2434
2015-06-07	0	2329	0	849	0	2434
2015-06-14	0	2329	0	849	0	2434
2015-06-21	0	2329	0	849	0	2434
2015-06-28	0	2329	0	849	0	2434
2015-07-05	0	2329	0	849	0	2434
2015-07-12	0	2329	0	849	0	2434
2015-07-19	0	2329	0	849	0	2434
2015-07-26	0	2329	0	849	0	2434
2015-08-02	0	2329	0	849	0	2434
2015-08-09	0	2329	0	849	0	2434
2015-08-16	0	2329	0	849	0	2434
2015-08-23	0	2329	0	849	0	2434
2015-08-30	0	2329	0	849	0	2434
2015-09-06	0	2329	0	849	0	2434
2015-09-13	0	2329	0	849	0	2434
2015-09-20	0	2329	0	849	0	2434
2015-09-27	0	2329	0	849	0	2434
2015-10-04	0	2329	0	849	0	2434
2015-10-11	0	2329	0	849	0	2434
2015-10-18	0	2329	0	849	0	2434
2015-10-25	0	2329	0	849	0	2434
2015-11-01	0	2329	0	849	0	2434
2015-11-08	0	2329	0	849	0	2434
2015-11-15	0	2329	0	849	0	2434
2015-11-22	0	2329	0	849	0	2434
2015-11-29	0	2329	0	849	0	2434
2015-12-06	0	2329	0	849	0	2434
2015-12-13	0	2329	0	849	0	2434
2015-12-20	0	2329	0	849	0	2434
2015-12-27	0	2329	0	849	0	2434
2016-01-03	0	2329	0	849	0	2434
2016-01-10	0	2329	0	849	0	2434
2016-01-17	0	2329	0	849	0	2434
2016-01-24	0	2329	0	849	0	2434
2016-01-31	0	2329	0	849	0	2434
2016-02-07	0	2329	0	849	0	2434
2016-02-14	0	2329	0	849	0	2434
2016-02-21	0	2329	0	849	0	2434
2016-02-28	0	2329	0	849	0	2434
2016-03-06	0	2329	0	849	0	2434
2016-03-13	0	2329	0	849	0	2434
2016-03-20	0	2329	0	849	0	2434
2016-03-27	0	2329	0	849	0	2434
2016-04-03	0	2329	0	849	0	2434
2016-04-10	0	2329	0	849	0	2434
2016-04-17	0	2329	0	849	0	2434
2016-04-24	0	2329	0	849	0	2434
2016-05-01	0	2329	0	849	0	2434
2016-05-08	0	2329	0	849	0	2434
