TONKOLILI.patient	TONKOLILI.patientSum	TONKOLILI.situation	TONKOLILI.situationSum	TONKOLILI.combined	TONKOLILI.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	0	0	0	0	0	0
2014-08-03	0	0	0	0	0	0
2014-08-10	1	1	0	0	1	1
2014-08-17	0	1	0	0	0	1
2014-08-24	3	4	0	0	3	4
2014-08-31	3	7	0	0	3	7
2014-09-07	7	14	0	0	7	14
2014-09-14	6	20	0	0	6	20
2014-09-21	15	35	24	24	24	44
2014-09-28	27	62	18	42	27	71
2014-10-05	61	123	26	68	61	132
2014-10-12	20	143	27	95	27	159
2014-10-19	42	185	21	116	42	201
2014-10-26	36	221	37	153	37	238
2014-11-02	30	251	30	183	30	268
2014-11-09	61	312	56	239	61	329
2014-11-16	32	344	29	268	32	361
2014-11-23	27	371	31	299	31	392
2014-11-30	33	404	40	339	40	432
2014-12-07	8	412	13	352	13	445
2014-12-14	16	428	14	366	16	461
2014-12-21	22	450	14	380	22	483
2014-12-28	18	468	13	393	18	501
2015-01-04	4	472	3	396	4	505
2015-01-11	14	486	9	405	14	519
2015-01-18	3	489	3	408	3	522
2015-01-25	5	494	6	414	6	528
2015-02-01	0	494	1	415	1	529
2015-02-08	2	496	0	415	2	531
2015-02-15	3	499	4	419	4	535
2015-02-22	0	499	0	419	0	535
2015-03-01	1	500	1	420	1	536
2015-03-08	0	500	0	420	0	536
2015-03-15	0	500	0	420	0	536
2015-03-22	0	500	0	420	0	536
2015-03-29	0	500	0	420	0	536
2015-04-05	0	500	0	420	0	536
2015-04-12	0	500	0	420	0	536
2015-04-19	0	500	0	420	0	536
2015-04-26	0	500	0	420	0	536
2015-05-03	0	500	0	420	0	536
2015-05-10	0	500	0	420	0	536
2015-05-17	0	500	0	420	0	536
2015-05-24	0	500	0	420	0	536
2015-05-31	0	500	0	420	0	536
2015-06-07	0	500	0	420	0	536
2015-06-14	0	500	0	420	0	536
2015-06-21	0	500	0	420	0	536
2015-06-28	0	500	0	420	0	536
2015-07-05	0	500	0	420	0	536
2015-07-12	0	500	0	420	0	536
2015-07-19	0	500	0	420	0	536
2015-07-26	1	501	1	421	1	537
2015-08-02	2	503	2	423	2	539
2015-08-09	0	503	0	423	0	539
2015-08-16	0	503	0	423	0	539
2015-08-23	2	505	0	423	2	541
2015-08-30	0	505	0	423	0	541
2015-09-06	0	505	0	423	0	541
2015-09-13	0	505	0	423	0	541
2015-09-20	0	505	0	423	0	541
2015-09-27	0	505	0	423	0	541
2015-10-04	0	505	0	423	0	541
2015-10-11	0	505	0	423	0	541
2015-10-18	0	505	0	423	0	541
2015-10-25	0	505	0	423	0	541
2015-11-01	0	505	0	423	0	541
2015-11-08	0	505	0	423	0	541
2015-11-15	0	505	0	423	0	541
2015-11-22	0	505	0	423	0	541
2015-11-29	0	505	0	423	0	541
2015-12-06	0	505	0	423	0	541
2015-12-13	0	505	0	423	0	541
2015-12-20	0	505	0	423	0	541
2015-12-27	0	505	0	423	0	541
2016-01-03	0	505	0	423	0	541
2016-01-10	0	505	0	423	0	541
2016-01-17	0	505	1	424	1	542
2016-01-24	0	505	1	425	1	543
2016-01-31	0	505	0	425	0	543
2016-02-07	0	505	0	425	0	543
2016-02-14	0	505	0	425	0	543
2016-02-21	0	505	0	425	0	543
2016-02-28	0	505	0	425	0	543
2016-03-06	0	505	0	425	0	543
2016-03-13	0	505	0	425	0	543
2016-03-20	0	505	0	425	0	543
2016-03-27	0	505	0	425	0	543
2016-04-03	0	505	0	425	0	543
2016-04-10	0	505	0	425	0	543
2016-04-17	0	505	0	425	0	543
2016-04-24	0	505	0	425	0	543
2016-05-01	0	505	0	425	0	543
2016-05-08	0	505	0	425	0	543
