WESTERN.AREA.RURAL.patient	WESTERN.AREA.RURAL.patientSum	WESTERN.AREA.RURAL.situation	WESTERN.AREA.RURAL.situationSum	WESTERN.AREA.RURAL.combined	WESTERN.AREA.RURAL.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	1	1	0	0	1	1
2014-07-06	0	1	0	0	0	1
2014-07-13	0	1	0	0	0	1
2014-07-20	1	2	0	0	1	2
2014-07-27	0	2	0	0	0	2
2014-08-03	1	3	0	0	1	3
2014-08-10	4	7	0	0	4	7
2014-08-17	8	15	0	0	8	15
2014-08-24	22	37	0	0	22	37
2014-08-31	13	50	0	0	13	50
2014-09-07	21	71	0	0	21	71
2014-09-14	29	100	0	0	29	100
2014-09-21	58	158	31	31	58	158
2014-09-28	57	215	64	95	64	222
2014-10-05	60	275	52	147	60	282
2014-10-12	60	335	65	212	65	347
2014-10-19	113	448	72	284	113	460
2014-10-26	109	557	102	386	109	569
2014-11-02	106	663	75	461	106	675
2014-11-09	79	742	69	530	79	754
2014-11-16	71	813	102	632	102	856
2014-11-23	69	882	55	687	69	925
2014-11-30	109	991	72	759	109	1034
2014-12-07	62	1053	57	816	62	1096
2014-12-14	41	1094	52	868	52	1148
2014-12-21	28	1122	31	899	31	1179
2014-12-28	36	1158	22	921	36	1215
2015-01-04	66	1224	50	971	66	1281
2015-01-11	48	1272	31	1002	48	1329
2015-01-18	14	1286	17	1019	17	1346
2015-01-25	16	1302	16	1035	16	1362
2015-02-01	6	1308	7	1042	7	1369
2015-02-08	13	1321	8	1050	13	1382
2015-02-15	15	1336	4	1054	15	1397
2015-02-22	2	1338	3	1057	3	1400
2015-03-01	5	1343	8	1065	8	1408
2015-03-08	8	1351	6	1071	8	1416
2015-03-15	1	1352	3	1074	3	1419
2015-03-22	8	1360	4	1078	8	1427
2015-03-29	6	1366	3	1081	6	1433
2015-04-05	0	1366	1	1082	1	1434
2015-04-12	1	1367	0	1082	1	1435
2015-04-19	4	1371	0	1082	4	1439
2015-04-26	1	1372	2	1084	2	1441
2015-05-03	0	1372	0	1084	0	1441
2015-05-10	1	1373	0	1084	1	1442
2015-05-17	0	1373	0	1084	0	1442
2015-05-24	4	1377	0	1084	4	1446
2015-05-31	2	1379	0	1084	2	1448
2015-06-07	0	1379	0	1084	0	1448
2015-06-14	0	1379	0	1084	0	1448
2015-06-21	1	1380	0	1084	1	1449
2015-06-28	0	1380	0	1084	0	1449
2015-07-05	0	1380	0	1084	0	1449
2015-07-12	1	1381	0	1084	1	1450
2015-07-19	0	1381	0	1084	0	1450
2015-07-26	0	1381	0	1084	0	1450
2015-08-02	0	1381	0	1084	0	1450
2015-08-09	0	1381	0	1084	0	1450
2015-08-16	0	1381	0	1084	0	1450
2015-08-23	0	1381	0	1084	0	1450
2015-08-30	0	1381	0	1084	0	1450
2015-09-06	0	1381	0	1084	0	1450
2015-09-13	0	1381	0	1084	0	1450
2015-09-20	0	1381	0	1084	0	1450
2015-09-27	0	1381	0	1084	0	1450
2015-10-04	0	1381	0	1084	0	1450
2015-10-11	0	1381	0	1084	0	1450
2015-10-18	0	1381	0	1084	0	1450
2015-10-25	0	1381	0	1084	0	1450
2015-11-01	0	1381	0	1084	0	1450
2015-11-08	0	1381	0	1084	0	1450
2015-11-15	0	1381	0	1084	0	1450
2015-11-22	0	1381	0	1084	0	1450
2015-11-29	0	1381	0	1084	0	1450
2015-12-06	0	1381	0	1084	0	1450
2015-12-13	0	1381	0	1084	0	1450
2015-12-20	0	1381	0	1084	0	1450
2015-12-27	0	1381	0	1084	0	1450
2016-01-03	0	1381	0	1084	0	1450
2016-01-10	0	1381	0	1084	0	1450
2016-01-17	0	1381	0	1084	0	1450
2016-01-24	0	1381	0	1084	0	1450
2016-01-31	0	1381	0	1084	0	1450
2016-02-07	0	1381	0	1084	0	1450
2016-02-14	0	1381	0	1084	0	1450
2016-02-21	0	1381	0	1084	0	1450
2016-02-28	0	1381	0	1084	0	1450
2016-03-06	0	1381	0	1084	0	1450
2016-03-13	0	1381	0	1084	0	1450
2016-03-20	0	1381	0	1084	0	1450
2016-03-27	0	1381	0	1084	0	1450
2016-04-03	0	1381	0	1084	0	1450
2016-04-10	0	1381	0	1084	0	1450
2016-04-17	0	1381	0	1084	0	1450
2016-04-24	0	1381	0	1084	0	1450
2016-05-01	0	1381	0	1084	0	1450
2016-05-08	0	1381	0	1084	0	1450
