WESTERN.AREA.URBAN.patient	WESTERN.AREA.URBAN.patientSum	WESTERN.AREA.URBAN.situation	WESTERN.AREA.URBAN.situationSum	WESTERN.AREA.URBAN.combined	WESTERN.AREA.URBAN.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	1	1	0	0	1	1
2014-06-29	1	2	0	0	1	2
2014-07-06	1	3	0	0	1	3
2014-07-13	2	5	0	0	2	5
2014-07-20	1	6	0	0	1	6
2014-07-27	6	12	0	0	6	12
2014-08-03	0	12	0	0	0	12
2014-08-10	4	16	0	0	4	16
2014-08-17	11	27	0	0	11	27
2014-08-24	17	44	0	0	17	44
2014-08-31	29	73	0	0	29	73
2014-09-07	33	106	0	0	33	106
2014-09-14	35	141	0	0	35	141
2014-09-21	62	203	51	51	62	203
2014-09-28	44	247	53	104	53	256
2014-10-05	56	303	76	180	76	332
2014-10-12	86	389	77	257	86	418
2014-10-19	88	477	98	355	98	516
2014-10-26	112	589	90	445	112	628
2014-11-02	145	734	115	560	145	773
2014-11-09	108	842	77	637	108	881
2014-11-16	130	972	168	805	168	1049
2014-11-23	122	1094	118	923	122	1171
2014-11-30	210	1304	202	1125	210	1381
2014-12-07	143	1447	133	1258	143	1524
2014-12-14	136	1583	125	1383	136	1660
2014-12-21	162	1745	115	1498	162	1822
2014-12-28	179	1924	149	1647	179	2001
2015-01-04	125	2049	93	1740	125	2126
2015-01-11	105	2154	59	1799	105	2231
2015-01-18	40	2194	30	1829	40	2271
2015-01-25	42	2236	20	1849	42	2313
2015-02-01	22	2258	22	1871	22	2335
2015-02-08	23	2281	19	1890	23	2358
2015-02-15	58	2339	67	1957	67	2425
2015-02-22	24	2363	14	1971	24	2449
2015-03-01	29	2392	26	1997	29	2478
2015-03-08	44	2436	27	2024	44	2522
2015-03-15	14	2450	29	2053	29	2551
2015-03-22	6	2456	13	2066	13	2564
2015-03-29	7	2463	10	2076	10	2574
2015-04-05	7	2470	5	2081	7	2581
2015-04-12	7	2477	4	2085	7	2588
2015-04-19	7	2484	6	2091	7	2595
2015-04-26	2	2486	1	2092	2	2597
2015-05-03	2	2488	4	2096	4	2601
2015-05-10	2	2490	2	2098	2	2603
2015-05-17	4	2494	4	2102	4	2607
2015-05-24	2	2496	2	2104	2	2609
2015-05-31	2	2498	3	2107	3	2612
2015-06-07	0	2498	0	2107	0	2612
2015-06-14	0	2498	0	2107	0	2612
2015-06-21	2	2500	2	2109	2	2614
2015-06-28	5	2505	4	2113	5	2619
2015-07-05	4	2509	3	2116	4	2623
2015-07-12	3	2512	10	2126	10	2633
2015-07-19	5	2517	2	2128	5	2638
2015-07-26	2	2519	2	2130	2	2640
2015-08-02	0	2519	0	2130	0	2640
2015-08-09	1	2520	1	2131	1	2641
2015-08-16	0	2520	0	2131	0	2641
2015-08-23	0	2520	0	2131	0	2641
2015-08-30	0	2520	0	2131	0	2641
2015-09-06	0	2520	0	2131	0	2641
2015-09-13	0	2520	0	2131	0	2641
2015-09-20	0	2520	0	2131	0	2641
2015-09-27	0	2520	0	2131	0	2641
2015-10-04	0	2520	0	2131	0	2641
2015-10-11	0	2520	0	2131	0	2641
2015-10-18	0	2520	0	2131	0	2641
2015-10-25	0	2520	0	2131	0	2641
2015-11-01	0	2520	0	2131	0	2641
2015-11-08	0	2520	0	2131	0	2641
2015-11-15	0	2520	0	2131	0	2641
2015-11-22	0	2520	0	2131	0	2641
2015-11-29	0	2520	0	2131	0	2641
2015-12-06	0	2520	0	2131	0	2641
2015-12-13	0	2520	0	2131	0	2641
2015-12-20	0	2520	0	2131	0	2641
2015-12-27	0	2520	0	2131	0	2641
2016-01-03	0	2520	0	2131	0	2641
2016-01-10	0	2520	0	2131	0	2641
2016-01-17	0	2520	0	2131	0	2641
2016-01-24	0	2520	0	2131	0	2641
2016-01-31	0	2520	0	2131	0	2641
2016-02-07	0	2520	0	2131	0	2641
2016-02-14	0	2520	0	2131	0	2641
2016-02-21	0	2520	0	2131	0	2641
2016-02-28	0	2520	0	2131	0	2641
2016-03-06	0	2520	0	2131	0	2641
2016-03-13	0	2520	0	2131	0	2641
2016-03-20	0	2520	0	2131	0	2641
2016-03-27	0	2520	0	2131	0	2641
2016-04-03	0	2520	0	2131	0	2641
2016-04-10	0	2520	0	2131	0	2641
2016-04-17	0	2520	0	2131	0	2641
2016-04-24	0	2520	0	2131	0	2641
2016-05-01	0	2520	0	2131	0	2641
2016-05-08	0	2520	0	2131	0	2641
