patient	patientSum	situation	situationSum	combined	combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	1	1	0	0	1	1
2014-06-29	2	3	0	0	2	3
2014-07-06	1	4	0	0	1	4
2014-07-13	2	6	0	0	2	6
2014-07-20	2	8	0	0	2	8
2014-07-27	6	14	0	0	6	14
2014-08-03	1	15	0	0	1	15
2014-08-10	8	23	0	0	8	23
2014-08-17	19	42	0	0	19	42
2014-08-24	39	81	0	0	39	81
2014-08-31	42	123	0	0	42	123
2014-09-07	54	177	0	0	54	177
2014-09-14	64	241	0	0	64	241
2014-09-21	120	361	82	82	120	361
2014-09-28	101	462	117	199	117	478
2014-10-05	116	578	128	327	136	614
2014-10-12	146	724	142	469	151	765
2014-10-19	201	925	170	639	211	976
2014-10-26	221	1146	192	831	221	1197
2014-11-02	251	1397	190	1021	251	1448
2014-11-09	187	1584	146	1167	187	1635
2014-11-16	201	1785	270	1437	270	1905
2014-11-23	191	1976	173	1610	191	2096
2014-11-30	319	2295	274	1884	319	2415
2014-12-07	205	2500	190	2074	205	2620
2014-12-14	177	2677	177	2251	188	2808
2014-12-21	190	2867	146	2397	193	3001
2014-12-28	215	3082	171	2568	215	3216
2015-01-04	191	3273	143	2711	191	3407
2015-01-11	153	3426	90	2801	153	3560
2015-01-18	54	3480	47	2848	57	3617
2015-01-25	58	3538	36	2884	58	3675
2015-02-01	28	3566	29	2913	29	3704
2015-02-08	36	3602	27	2940	36	3740
2015-02-15	73	3675	71	3011	82	3822
2015-02-22	26	3701	17	3028	27	3849
2015-03-01	34	3735	34	3062	37	3886
2015-03-08	52	3787	33	3095	52	3938
2015-03-15	15	3802	32	3127	32	3970
2015-03-22	14	3816	17	3144	21	3991
2015-03-29	13	3829	13	3157	16	4007
2015-04-05	7	3836	6	3163	8	4015
2015-04-12	8	3844	4	3167	8	4023
2015-04-19	11	3855	6	3173	11	4034
2015-04-26	3	3858	3	3176	4	4038
2015-05-03	2	3860	4	3180	4	4042
2015-05-10	3	3863	2	3182	3	4045
2015-05-17	4	3867	4	3186	4	4049
2015-05-24	6	3873	2	3188	6	4055
2015-05-31	4	3877	3	3191	5	4060
2015-06-07	0	3877	0	3191	0	4060
2015-06-14	0	3877	0	3191	0	4060
2015-06-21	3	3880	2	3193	3	4063
2015-06-28	5	3885	4	3197	5	4068
2015-07-05	4	3889	3	3200	4	4072
2015-07-12	4	3893	10	3210	11	4083
2015-07-19	5	3898	2	3212	5	4088
2015-07-26	2	3900	2	3214	2	4090
2015-08-02	0	3900	0	3214	0	4090
2015-08-09	1	3901	1	3215	1	4091
2015-08-16	0	3901	0	3215	0	4091
2015-08-23	0	3901	0	3215	0	4091
2015-08-30	0	3901	0	3215	0	4091
2015-09-06	0	3901	0	3215	0	4091
2015-09-13	0	3901	0	3215	0	4091
2015-09-20	0	3901	0	3215	0	4091
2015-09-27	0	3901	0	3215	0	4091
2015-10-04	0	3901	0	3215	0	4091
2015-10-11	0	3901	0	3215	0	4091
2015-10-18	0	3901	0	3215	0	4091
2015-10-25	0	3901	0	3215	0	4091
2015-11-01	0	3901	0	3215	0	4091
2015-11-08	0	3901	0	3215	0	4091
2015-11-15	0	3901	0	3215	0	4091
2015-11-22	0	3901	0	3215	0	4091
2015-11-29	0	3901	0	3215	0	4091
2015-12-06	0	3901	0	3215	0	4091
2015-12-13	0	3901	0	3215	0	4091
2015-12-20	0	3901	0	3215	0	4091
2015-12-27	0	3901	0	3215	0	4091
2016-01-03	0	3901	0	3215	0	4091
2016-01-10	0	3901	0	3215	0	4091
2016-01-17	0	3901	0	3215	0	4091
2016-01-24	0	3901	0	3215	0	4091
2016-01-31	0	3901	0	3215	0	4091
2016-02-07	0	3901	0	3215	0	4091
2016-02-14	0	3901	0	3215	0	4091
2016-02-21	0	3901	0	3215	0	4091
2016-02-28	0	3901	0	3215	0	4091
2016-03-06	0	3901	0	3215	0	4091
2016-03-13	0	3901	0	3215	0	4091
2016-03-20	0	3901	0	3215	0	4091
2016-03-27	0	3901	0	3215	0	4091
2016-04-03	0	3901	0	3215	0	4091
2016-04-10	0	3901	0	3215	0	4091
2016-04-17	0	3901	0	3215	0	4091
2016-04-24	0	3901	0	3215	0	4091
2016-05-01	0	3901	0	3215	0	4091
2016-05-08	0	3901	0	3215	0	4091
